Date,Publisher,Campaign Name,Line Item Name,Accrual Campaign Name,Concept Name,Geo,Impressions,Engagements,Clicks,Views,25% Views,50% Views,75% Views,100% Views,Spends,Device,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Reach
2024-03-21,PMP,AMZ EA Thematic H1 24,NPAC Video PMP Desktop+Mobile Midroll (non-skip till 30 Sec) 35 Sec Bengali/Hindi 25-45; Amazon App Users; Excl: Prime Video App users CPM_P1 West Bengal T57 - Metros,AMZ EA Thematic H1 24,XCIR24IN002_EDE_CONSD_APAC_MTK_POKN_A_PLC_DM_WAP_NA_DIG_VIDP_VMLT_ROS_PMPVD35WBT57MNPACFAMENG_REC_MLT_NA_NA_NA_NA_NA_1920X1080_:30_SKP_3_CPM_SSWT_EN_1152O6_03192024_05312024_NA_WEST B_MLT_NA,P1 West Bengal T57 - Metros,6850,,42,,6565,6403,6292,6246,2397.5,,,,,,,,
2024-03-21,PMP,AMZ EA Thematic H1 24,NPAC Video PMP Desktop+Mobile Midroll (non-skip till 30 Sec) 35 Sec Bengali/Hindi 25-45; Amazon App Users; Excl: Prime Video App users CPM_P1 West Bengal T57 - Metros,AMZ EA Thematic H1 24,XCIR24IN002_EDE_CONSD_APAC_MTK_POKN_A_PLC_DM_WAP_NA_DIG_VIDP_VMLT_ROS_PMPVD35WBT57MNPACFAMENG_REC_MLT_NA_NA_NA_NA_NA_1920X1080_:30_SKP_3_CPM_SSWT_EN_1152O6_03192024_05312024_NA_WEST B_MLT_NA,P1 West Bengal T57 - Metros,883,,4,,868,854,849,842,309.05,,,,,,,,
2024-03-21,PMP,AMZ EA Thematic H1 24,NPAC Video PMP Desktop+Mobile Midroll (non-skip till 30 Sec) 35 Sec Bengali/Hindi 25-45; Amazon App Users; Excl: Prime Video App users CPM_P1 West Bengal T57 - Metros,AMZ EA Thematic H1 24,XCIR24IN002_EDE_CONSD_APAC_MTK_POKN_A_PLC_DM_WAP_NA_DIG_VIDP_VMLT_ROS_PMPVD35WBT57MNPACFAMENG_REC_MLT_NA_NA_NA_NA_NA_1920X1080_:30_SKP_3_CPM_SSWT_EN_1152O6_03192024_05312024_NA_WEST B_MLT_NA,P1 West Bengal T57 - Metros,531,,3,,509,493,491,485,185.85,,,,,,,,
2024-03-21,PMP,AMZ EA Thematic H1 24,NPAC Video PMP Desktop+Mobile Midroll (non-skip till 30 Sec) 35 Sec Bengali/Hindi 25-45; Amazon App Users; Excl: Prime Video App users CPM_P1 West Bengal T57 - Metros,AMZ EA Thematic H1 24,XCIR24IN002_EDE_CONSD_APAC_MTK_POKN_A_PLC_DM_WAP_NA_DIG_VIDP_VMLT_ROS_PMPVD35WBT57MNPACFAMENG_REC_MLT_NA_NA_NA_NA_NA_1920X1080_:30_SKP_3_CPM_SSWT_EN_1152O6_03192024_05312024_NA_WEST B_MLT_NA,P1 West Bengal T57 - Metros,32638,,708,,31597,31286,31112,30999,11423.3,,,,,,,,
2024-03-21,PMP,AMZ EA Thematic H1 24,NPAC Video PMP Desktop+Mobile Midroll (non-skip till 30 Sec) 35 Sec Bengali/Hindi 25-45; Amazon App Users; Excl: Prime Video App users CPM_P1 West Bengal T57 - Metros,AMZ EA Thematic H1 24,XCIR24IN002_EDE_CONSD_APAC_MTK_POKN_A_PLC_DM_WAP_NA_DIG_VIDP_VMLT_ROS_PMPVD35WBT57MNPACFAMENG_REC_MLT_NA_NA_NA_NA_NA_1920X1080_:30_SKP_3_CPM_SSWT_EN_1152O6_03192024_05312024_NA_WEST B_MLT_NA,P1 West Bengal T57 - Metros,4309,,35,,4033,3945,3864,3697,1508.15,,,,,,,,
2024-03-21,PMP,AMZ EA Thematic H1 24,NPAC Video PMP Desktop+Mobile Midroll (non-skip till 30 Sec) 35 Sec Bengali/Hindi 25-45; Amazon App Users; Excl: Prime Video App users CPM_P1 West Bengal T57 - Metros,AMZ EA Thematic H1 24,XCIR24IN002_EDE_CONSD_APAC_MTK_POKN_A_PLC_DM_WAP_NA_DIG_VIDP_VMLT_ROS_PMPVD35WBT57MNPACOFFENG_REC_MLT_NA_NA_NA_NA_NA_1920X1080_:30_SKP_3_CPM_SSWT_EN_1152O8_03192024_05312024_NA_WEST B_MLT_NA,P1 West Bengal T57 - Metros,539,,5,,506,495,489,485,188.65,,,,,,,,
2024-03-21,PMP,AMZ EA Thematic H1 24,NPAC Video PMP Desktop+Mobile Midroll (non-skip till 30 Sec) 35 Sec Bengali/Hindi 25-45; Amazon App Users; Excl: Prime Video App users CPM_P1 West Bengal T57 - Metros,AMZ EA Thematic H1 24,XCIR24IN002_EDE_CONSD_APAC_MTK_POKN_A_PLC_DM_WAP_NA_DIG_VIDP_VMLT_ROS_PMPVD35WBT57MNPACOFFENG_REC_MLT_NA_NA_NA_NA_NA_1920X1080_:30_SKP_3_CPM_SSWT_EN_1152O8_03192024_05312024_NA_WEST B_MLT_NA,P1 West Bengal T57 - Metros,32863,,672,,31856,31543,31353,31228,11502.05,,,,,,,,
2024-03-21,PMP,AMZ EA Thematic H1 24,NPAC Video PMP Desktop+Mobile Midroll (non-skip till 30 Sec) 35 Sec Bengali/Hindi 25-45; Amazon App Users; Excl: Prime Video App users CPM_P1 West Bengal T57 - Metros,AMZ EA Thematic H1 24,XCIR24IN002_EDE_CONSD_APAC_MTK_POKN_A_PLC_DM_WAP_NA_DIG_VIDP_VMLT_ROS_PMPVD35WBT57MNPACOFFENG_REC_MLT_NA_NA_NA_NA_NA_1920X1080_:30_SKP_3_CPM_SSWT_EN_1152O8_03192024_05312024_NA_WEST B_MLT_NA,P1 West Bengal T57 - Metros,4332,,27,,4044,3929,3840,3684,1516.2,,,,,,,,
2024-03-21,PMP,AMZ EA Thematic H1 24,NPAC Video PMP Desktop+Mobile Midroll (non-skip till 30 Sec) 35 Sec Bengali/Hindi 25-45; Amazon App Users; Excl: Prime Video App users CPM_P1 West Bengal T57 - Metros,AMZ EA Thematic H1 24,XCIR24IN002_EDE_CONSD_APAC_MTK_POKN_A_PLC_DM_WAP_NA_DIG_VIDP_VMLT_ROS_PMPVD35WBT57MNPACOFFENG_REC_MLT_NA_NA_NA_NA_NA_1920X1080_:30_SKP_3_CPM_SSWT_EN_1152O8_03192024_05312024_NA_WEST B_MLT_NA,P1 West Bengal T57 - Metros,901,,5,,885,870,866,860,315.35,,,,,,,,
2024-03-21,PMP,AMZ EA Thematic H1 24,NPAC Video PMP Desktop+Mobile Midroll (non-skip till 30 Sec) 35 Sec Bengali/Hindi 25-45; Amazon App Users; Excl: Prime Video App users CPM_P1 West Bengal T57 - Metros,AMZ EA Thematic H1 24,XCIR24IN002_EDE_CONSD_APAC_MTK_POKN_A_PLC_DM_WAP_NA_DIG_VIDP_VMLT_ROS_PMPVD35WBT57MNPACOFFENG_REC_MLT_NA_NA_NA_NA_NA_1920X1080_:30_SKP_3_CPM_SSWT_EN_1152O8_03192024_05312024_NA_WEST B_MLT_NA,P1 West Bengal T57 - Metros,6916,,34,,6658,6501,6419,6361,2420.6,,,,,,,,
