Date,Publisher,Campaign Name,Line Item Name,Accrual Campaign Name,Concept Name,Geo,Impressions,Engagements,Clicks,Views,25% Views,50% Views,75% Views,100% Views,Spends,Device,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Reach
2024-03-20,YouTube,AMZ EA Thematic H1 24,NPAC Video Youtube Desktop+Mobile+CTV Skippable Instream 35 Sec Bengali/Hindi MF25-45;Amazon App Users; Excl: Prime Video App users CPV_P1 West Bengal T57-Metros,AMZ EA Thematic H1 24,XCIR24IN002_EDE_CONSD_APAC_YOUTUBE_NENN_A_PLC_CRS_MLT_NOT APPLICABLE_DIG_VIDN_PST_RON_EAH1-YT-VID-35-WB-T57M-NPAC-FAM-ENG_REC_MLT_NA_NA_NA_NA_SFR_1920X1080_:35_SKP_4_CPMV_SSWT_EN_MIE ID_03152024_05312024_NA_WEST B-NA-NA,P1 West Bengal T57-Metros,52694,,257,,39033,31906,28670,26296,6740.7595,,,,,,,,
2024-03-20,YouTube,AMZ EA Thematic H1 24,NPAC Video Youtube Desktop+Mobile+CTV Skippable Instream 35 Sec Bengali/Hindi MF25-45;Amazon App Users; Excl: Prime Video App users CPV_P1 West Bengal T57-Metros,AMZ EA Thematic H1 24,XCIR24IN002_EDE_CONSD_APAC_YOUTUBE_NENN_A_PLC_CRS_MLT_NOT APPLICABLE_DIG_VIDN_PST_RON_EAH1-YT-VID-35-WB-T57M-NPAC-OFF-ENG_REC_MLT_NA_NA_NA_NA_SFR_1920X1080_:35_SKP_4_CPMV_SSWT_EN_MIE ID_03152024_05312024_NA_WEST B-NA-NA,P1 West Bengal T57-Metros,29012,,137,,22936,19265,17509,16237,3982.256791,,,,,,,,
2024-03-20,YouTube,AMZ EA Thematic H1 24,NPAC Video Youtube Desktop+Mobile+CTV Skippable Instream 35 Sec Bengali/Hindi MF25-45;Amazon App Users; Excl: Prime Video App users CPV_P1 West Bengal T57-Metros,AMZ EA Thematic H1 24,XCIR24IN002_EDE_CONSD_APAC_YOUTUBE_POKN_A_PLC_CRS_MLT_NA_DIG_VIDP_VMLT_RON_YTVD35WBT57MNPACFAMENG_REC_MLT_NA_NA_NA_NA_NA_1920X1080_:30_SKP_4_CPV_SSWT_EN_1152VY_03192024_05312024_NA_WEST B_MLT_NA,P1 West Bengal T57-Metros,111332,,591,,79076,62785,55614,50640,12898.045826,,,,,,,,
2024-03-20,YouTube,AMZ EA Thematic H1 24,NPAC Video Youtube Desktop+Mobile+CTV Skippable Instream 35 Sec Bengali/Hindi MF25-45;Amazon App Users; Excl: Prime Video App users CPV_P1 West Bengal T57-Metros,AMZ EA Thematic H1 24,XCIR24IN002_EDE_CONSD_APAC_YOUTUBE_POKN_A_PLC_CRS_MLT_NA_DIG_VIDP_VMLT_RON_YTVD35WBT57MNPACOFFENG_REC_MLT_NA_NA_NA_NA_NA_1920X1080_:30_SKP_4_CPV_SSWT_EN_1152W0_03192024_05312024_NA_WEST B_MLT_NA,P1 West Bengal T57-Metros,74179,,358,,55880,45704,40767,37494,9209.819623,,,,,,,,
2024-03-20,YouTube,AMZ EA Thematic H1 24,NPAC Video Youtube Desktop+Mobile+CTV Skippable Instream 35 Sec Gujarati/Hindi MF25-45;Amazon App Users; Excl: Prime Video App users CPV_P1 Gujarat T57-Metros,AMZ EA Thematic H1 24,XCIR24IN002_EDE_CONSD_APAC_YOUTUBE_NENN_A_PLC_CRS_MLT_NOT APPLICABLE_DIG_VIDN_PST_RON_EAH1-YT-VID-35-GJ-T57M-NPAC-FAM-HIN_REC_MLT_NA_NA_NA_NA_SFR_1920X1080_:35_SKP_4_CPMV_SSWT_HI_MIE ID_03152024_05312024_NA_GUJARA-NA-NA,P1 Gujarat T57-Metros,50748,,221,,38571,32263,29261,27089,6915.974571,,,,,,,,
2024-03-20,YouTube,AMZ EA Thematic H1 24,NPAC Video Youtube Desktop+Mobile+CTV Skippable Instream 35 Sec Gujarati/Hindi MF25-45;Amazon App Users; Excl: Prime Video App users CPV_P1 Gujarat T57-Metros,AMZ EA Thematic H1 24,XCIR24IN002_EDE_CONSD_APAC_YOUTUBE_NENN_A_PLC_CRS_MLT_NOT APPLICABLE_DIG_VIDN_PST_RON_EAH1-YT-VID-35-GJ-T57M-NPAC-OFF-HIN_REC_MLT_NA_NA_NA_NA_SFR_1920X1080_:35_SKP_4_CPMV_SSWT_HI_MIE ID_03152024_05312024_NA_GUJARA-NA-NA,P1 Gujarat T57-Metros,33892,,153,,26952,23069,21044,19633,4813.498474,,,,,,,,
2024-03-20,YouTube,AMZ EA Thematic H1 24,NPAC Video Youtube Desktop+Mobile+CTV Skippable Instream 35 Sec Gujarati/Hindi MF25-45;Amazon App Users; Excl: Prime Video App users CPV_P1 Gujarat T57-Metros,AMZ EA Thematic H1 24,XCIR24IN002_EDE_CONSD_APAC_YOUTUBE_POKN_A_PLC_CRS_MLT_NA_DIG_VIDP_VMLT_RON_YTVD35GJT57MNPACFAMHIN_REC_MLT_NA_NA_NA_NA_NA_1920X1080_:30_SKP_4_CPV_SSWT_HI_1152QY_03192024_05312024_NA_GUJARA_MLT_NA,P1 Gujarat T57-Metros,66582,,328,,47207,37498,33049,30015,8183.306947,,,,,,,,
2024-03-20,YouTube,AMZ EA Thematic H1 24,NPAC Video Youtube Desktop+Mobile+CTV Skippable Instream 35 Sec Gujarati/Hindi MF25-45;Amazon App Users; Excl: Prime Video App users CPV_P1 Gujarat T57-Metros,AMZ EA Thematic H1 24,XCIR24IN002_EDE_CONSD_APAC_YOUTUBE_POKN_A_PLC_CRS_MLT_NA_DIG_VIDP_VMLT_RON_YTVD35GJT57MNPACOFFHIN_REC_MLT_NA_NA_NA_NA_NA_1920X1080_:30_SKP_4_CPV_SSWT_HI_1152R0_03192024_05312024_NA_GUJARA_MLT_NA,P1 Gujarat T57-Metros,53291,,232,,39758,32409,28911,26583,6962.377867,,,,,,,,
2024-03-20,YouTube,AMZ EA Thematic H1 24,NPAC Video Youtube Desktop+Mobile+CTV Skippable Instream 35 Sec Gujarati/Hindi MF25-45;Amazon App Users; Excl: Prime Video App users CPV_P1 Gujarat T57-Non Metros,AMZ EA Thematic H1 24,XCIR24IN002_EDE_CONSD_APAC_YOUTUBE_NENN_A_PLC_CRS_MLT_NOT APPLICABLE_DIG_VIDN_PST_RON_EAH1-YT-VID-35-GJ-T57NM-NPAC-FAM-HIN_REC_MLT_NA_NA_NA_NA_SFR_1920X1080_:35_SKP_4_CPMV_SSWT_HI_MIE ID_03152024_05312024_NA_GUJARA-NA-NA,P1 Gujarat T57-Non Metros,37497,,125,,27333,22582,20268,18671,4617.063978,,,,,,,,
2024-03-20,YouTube,AMZ EA Thematic H1 24,NPAC Video Youtube Desktop+Mobile+CTV Skippable Instream 35 Sec Gujarati/Hindi MF25-45;Amazon App Users; Excl: Prime Video App users CPV_P1 Gujarat T57-Non Metros,AMZ EA Thematic H1 24,XCIR24IN002_EDE_CONSD_APAC_YOUTUBE_NENN_A_PLC_CRS_MLT_NOT APPLICABLE_DIG_VIDN_PST_RON_EAH1-YT-VID-35-GJ-T57NM-NPAC-OFF-HIN_REC_MLT_NA_NA_NA_NA_SFR_1920X1080_:35_SKP_4_CPMV_SSWT_HI_MIE ID_03152024_05312024_NA_GUJARA-NA-NA,P1 Gujarat T57-Non Metros,21140,,66,,16412,13854,12666,11849,2748.238688,,,,,,,,
