Date,Publisher,Campaign Name,Accrual Campaign Name,Concept Name,Geo,Impressions,Clicks,Device,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Engagements,Reach,Views,25% Views,50% Views,75% Views,100% Views,Spends
2023-12-11,ABP,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon_WRS_ footwear_300x250,,103236,258,,,,,,,,,,,,,,,
2023-12-11,ABP,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon_WRS_ footwear_320x50,,124874,240,,,,,,,,,,,,,,,
2023-12-11,ABP,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon_WRS_02 jewellery_300x250,,736998,13901,,,,,,,,,,,,,,,
2023-12-11,ABP,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon_WRS_02 jewellery_320x50,,40205,56,,,,,,,,,,,,,,,
2023-12-11,ABP,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon_WRS_Apparel_300x250,,158933,504,,,,,,,,,,,,,,,
2023-12-11,ABP,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon_WRS_Apparel_320x50,,123377,165,,,,,,,,,,,,,,,
2023-12-11,ABP,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon_WRS_Bag_300x250,,275926,1277,,,,,,,,,,,,,,,
2023-12-11,ABP,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon_WRS_Bag_320x50,,285006,574,,,,,,,,,,,,,,,
2023-12-11,ABP,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon_WRS_Handbags_300x250,,52115,175,,,,,,,,,,,,,,,
2023-12-11,ABP,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon_WRS_Handbags_320x50,,284148,488,,,,,,,,,,,,,,,
2023-12-11,ABP,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon_WRS_Luggage_300x250,,79596,252,,,,,,,,,,,,,,,
2023-12-11,ABP,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon_WRS_Luggage_320x50,,52883,79,,,,,,,,,,,,,,,
2023-12-11,ABP,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon_WRS_Luxbeauty_300x250,,156262,588,,,,,,,,,,,,,,,
2023-12-11,ABP,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon_WRS_Luxbeauty_320x50,,72727,109,,,,,,,,,,,,,,,
2023-12-11,ABP,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon_WRS_Mens_Apparel_300x250,,59441,206,,,,,,,,,,,,,,,
2023-12-11,ABP,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon_WRS_Mens_Apparel_320x50,,64302,86,,,,,,,,,,,,,,,
2023-12-11,ABP,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon_WRS_Watches_300x250,,65198,217,,,,,,,,,,,,,,,
2023-12-11,ABP,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon_WRS_Watches_320x50,,183520,262,,,,,,,,,,,,,,,
