Date,Publisher,Campaign Name,Accrual Campaign Name,Concept Name,Geo,Impressions,Engagements,Clicks,Views,25% Views,50% Views,75% Views,100% Views,Spends,Device,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Reach
2023-12-08,Dailyhunt,Sale,Amazon WRS Campaign (Nov-Dec 2023),Apparel - Mumbai - 1080x2592,"mumbai,thane",2553.0,,48.0,,,,,,336.0,,,,,,,,
2023-12-08,Dailyhunt,Sale,Amazon WRS Campaign (Nov-Dec 2023),Apparel - Mumbai- 600x600,"mumbai,thane",183870.0,,1361.0,,,,,,9527.0,,,,,,,,
2023-12-08,Dailyhunt,Sale,Amazon WRS Campaign (Nov-Dec 2023),Apparel - Mumbai- 960x150,"mumbai,thane",21009.0,,33.0,,,,,,231.0,,,,,,,,
2023-12-08,Dailyhunt,Sale,Amazon WRS Campaign (Nov-Dec 2023),Apparel -Mumbai - 990X505,"mumbai,thane",182169.0,,1096.0,,,,,,7672.0,,,,,,,,
2023-12-08,Dailyhunt,Sale,Amazon WRS Campaign (Nov-Dec 2023),Bags - Mumbai - 1080x2592,"mumbai,thane",2362.0,,60.0,,,,,,420.0,,,,,,,,
2023-12-08,Dailyhunt,Sale,Amazon WRS Campaign (Nov-Dec 2023),Bags - Mumbai - 600x600,"mumbai,thane",166455.0,,1165.0,,,,,,8155.0,,,,,,,,
2023-12-08,Dailyhunt,Sale,Amazon WRS Campaign (Nov-Dec 2023),Bags - Mumbai - 960x150,"mumbai,thane",18391.0,,31.0,,,,,,217.0,,,,,,,,
2023-12-08,Dailyhunt,Sale,Amazon WRS Campaign (Nov-Dec 2023),Bags - Mumbai - 990X505,"mumbai,thane",165212.0,,1063.0,,,,,,7441.0,,,,,,,,
2023-12-08,Dailyhunt,Sale,Amazon WRS Campaign (Nov-Dec 2023),Beauty & Perfumes - Mumbai - 960x150,"mumbai,thane",182528.0,,268.0,,,,,,1876.0,,,,,,,,
2023-12-08,Dailyhunt,Sale,Amazon WRS Campaign (Nov-Dec 2023),Beauty & Perfumes - Mumbai - 990X505,"mumbai,thane",1376298.0,,7530.0,,,,,,52710.0,,,,,,,,
2023-12-08,Dailyhunt,Sale,Amazon WRS Campaign (Nov-Dec 2023),Beauty & Perfumes - Mumbai- 1080x2592,"mumbai,thane",36978.0,,771.0,,,,,,5397.0,,,,,,,,
