Date,Publisher,Campaign Name,Accrual Campaign Name,Concept Name,Geo,Impressions,Clicks,Device,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Engagements,Reach,Views,25% Views,50% Views,75% Views,100% Views,Spends
2023-12-08,Ei Samay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Womens apparel,,86143,128,,,,,,,,,,,,,,,
2023-12-08,Ei Samay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Handbags,,10781,8,,,,,,,,,,,,,,,
2023-12-08,Ei Samay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Footwear,,62995,73,,,,,,,,,,,,,,,
2023-12-08,Ei Samay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Footwear,,52993,69,,,,,,,,,,,,,,,
2023-12-08,Ei Samay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Travel,,111420,216,,,,,,,,,,,,,,,
2023-12-08,Ei Samay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Travel,,10772,14,,,,,,,,,,,,,,,
2023-12-08,Ei Samay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Womens apparel,,63197,93,,,,,,,,,,,,,,,
2023-12-08,Ei Samay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Handbags,,75268,106,,,,,,,,,,,,,,,
2023-12-08,Ei Samay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Mens apparel,,75498,94,,,,,,,,,,,,,,,
2023-12-08,Ei Samay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Mens apparel,,22812,23,,,,,,,,,,,,,,,
2023-12-09,Ei Samay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Womens apparel,,60780,101,,,,,,,,,,,,,,,
2023-12-09,Ei Samay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Handbags,,7651,13,,,,,,,,,,,,,,,
2023-12-09,Ei Samay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Footwear,,36356,38,,,,,,,,,,,,,,,
2023-12-09,Ei Samay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Footwear,,8475,14,,,,,,,,,,,,,,,
2023-12-09,Ei Samay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Travel,,74263,154,,,,,,,,,,,,,,,
2023-12-09,Ei Samay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Travel,,33016,40,,,,,,,,,,,,,,,
2023-12-09,Ei Samay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Womens apparel,,63773,98,,,,,,,,,,,,,,,
2023-12-09,Ei Samay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Handbags,,52809,75,,,,,,,,,,,,,,,
2023-12-09,Ei Samay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Mens apparel,,40833,47,,,,,,,,,,,,,,,
2023-12-09,Ei Samay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Mens apparel,,7461,13,,,,,,,,,,,,,,,
2023-12-10,Ei Samay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Handbags,,95970,106,,,,,,,,,,,,,,,
2023-12-10,Ei Samay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Womens apparel,,69684,84,,,,,,,,,,,,,,,
2023-12-10,Ei Samay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Handbags,,18357,35,,,,,,,,,,,,,,,
2023-12-10,Ei Samay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Footwear,,42112,104,,,,,,,,,,,,,,,
2023-12-10,Ei Samay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Travel,,249835,308,,,,,,,,,,,,,,,
2023-12-10,Ei Samay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Mens apparel,,36788,92,,,,,,,,,,,,,,,
2023-12-10,Ei Samay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Womens apparel,,44973,107,,,,,,,,,,,,,,,
2023-12-10,Ei Samay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Footwear,,34221,33,,,,,,,,,,,,,,,
2023-12-10,Ei Samay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Travel,,139171,370,,,,,,,,,,,,,,,
2023-12-10,Ei Samay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Mens apparel,,77679,98,,,,,,,,,,,,,,,
2023-12-11,Ei Samay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Handbags,,17351,17,,,,,,,,,,,,,,,
2023-12-11,Ei Samay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Womens apparel,,24853,22,,,,,,,,,,,,,,,
2023-12-11,Ei Samay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Handbags,,43032,83,,,,,,,,,,,,,,,
2023-12-11,Ei Samay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Footwear,,54215,78,,,,,,,,,,,,,,,
2023-12-11,Ei Samay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Travel,,130302,166,,,,,,,,,,,,,,,
2023-12-11,Ei Samay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Mens apparel,,52862,93,,,,,,,,,,,,,,,
2023-12-11,Ei Samay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Womens apparel,,47999,80,,,,,,,,,,,,,,,
2023-12-11,Ei Samay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Footwear,,17290,23,,,,,,,,,,,,,,,
2023-12-11,Ei Samay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Travel,,181821,299,,,,,,,,,,,,,,,
2023-12-11,Ei Samay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Mens apparel,,87011,94,,,,,,,,,,,,,,,
