Paid Initiative Name,Date,Ad Set Name,Concept Name,Reporting Ends,Impressions,Clicks (Sum),Clicks,Spends,Facebook Cost Per Complete Video View (Sum),Facebook Video Plays (3 Sec) (Sum),25% Views,50% Views,75% Views,100% Views,Facebook Cost Per Video Thru Play In Inr (Sum),Accrual Campaign Name,Campaign Name,Publisher,Geo,Device,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Engagements,Reach,Views
Amazon Fashion WRS Dec 23 Sale - (WT) - CPC,2023-12-08,Amazon Fashion WRS Dec 23 Sale - Delhi + NCR,afa_2023_aw_in-delhi-delhi_facebook_social_plc_des/mob_webapp_ros_disp_FBIG-wrsale-Sus-mf-del-Apparel_disp_standrd_1 x 1_na_na_cpc_ss_en_xcic23in00f_20231202_20231220,2023-12-08,164801,1657,1158,5130.64,0,0,0,0,0,0,0,Amazon WRS Campaign (Nov-Dec 2023),Sale,Meta,Delhi + NCR,,,,,,,,,,
Amazon Fashion WRS Dec 23 Sale - (WT) - CPC,2023-12-08,Amazon Fashion WRS Dec 23 Sale - Delhi + NCR,afa_2023_aw_in-delhi-delhi_facebook_social_plc_des/mob_webapp_ros_disp_FBIG-wrsale-Sus-mf-del-Bags_disp_standrd_1 x 1_na_na_cpc_ss_en_xcic23in00f_20231202_20231220,2023-12-08,1237730,10526,7589,36301.97,0,0,0,0,0,0,0,Amazon WRS Campaign (Nov-Dec 2023),Sale,Meta,Delhi + NCR,,,,,,,,,,
Amazon Fashion WRS Dec 23 Sale - (WT) - CPC,2023-12-08,Amazon Fashion WRS Dec 23 Sale - Delhi + NCR,afa_2023_aw_in-delhi-delhi_facebook_social_plc_des/mob_webapp_ros_disp_FBIG-wrsale-Sus-mf-del-Footwear-female_disp_standrd_1 x 1_na_na_cpc_ss_en_xcic23in00f_20231202_20231220,2023-12-08,166353,1723,1305,5642.75,0,0,0,0,0,0,0,Amazon WRS Campaign (Nov-Dec 2023),Sale,Meta,Delhi + NCR,,,,,,,,,,
Amazon Fashion WRS Dec 23 Sale - (WT) - CPC,2023-12-08,Amazon Fashion WRS Dec 23 Sale - Delhi + NCR,afa_2023_aw_in-delhi-delhi_facebook_social_plc_des/mob_webapp_ros_disp_FBIG-wrsale-Sus-mf-del-Handbags-female_disp_standrd_1 x 1_na_na_cpc_ss_en_xcic23in00f_20231202_20231220,2023-12-08,133444,1360,941,4163.67,0,0,0,0,0,0,0,Amazon WRS Campaign (Nov-Dec 2023),Sale,Meta,Delhi + NCR,,,,,,,,,,
Amazon Fashion WRS Dec 23 Sale - (WT) - CPC,2023-12-08,Amazon Fashion WRS Dec 23 Sale - Delhi + NCR,afa_2023_aw_in-delhi-delhi_facebook_social_plc_des/mob_webapp_ros_disp_FBIG-wrsale-Sus-mf-del-Jewellery_disp_standrd_1 x 1_na_na_cpc_ss_en_xcic23in00f_20231202_20231220,2023-12-08,250193,2740,1926,8660.92,0,0,0,0,0,0,0,Amazon WRS Campaign (Nov-Dec 2023),Sale,Meta,Delhi + NCR,,,,,,,,,,
Amazon Fashion WRS Dec 23 Sale - (WT) - CPC,2023-12-08,Amazon Fashion WRS Dec 23 Sale - Delhi + NCR,afa_2023_aw_in-delhi-delhi_facebook_social_plc_des/mob_webapp_ros_disp_FBIG-wrsale-Sus-mf-del-Lux-beauty&perfumes_disp_standrd_1 x 1_na_na_cpc_ss_en_xcic23in00f_20231202_20231220,2023-12-08,192404,1721,1214,4947.21,0,0,0,0,0,0,0,Amazon WRS Campaign (Nov-Dec 2023),Sale,Meta,Delhi + NCR,,,,,,,,,,
Amazon Fashion WRS Dec 23 Sale - (WT) - CPC,2023-12-08,Amazon Fashion WRS Dec 23 Sale - Delhi + NCR,afa_2023_aw_in-delhi-delhi_facebook_social_plc_des/mob_webapp_ros_disp_FBIG-wrsale-Sus-mf-del-Mens-Apparrel_disp_standrd_1 x 1_na_na_cpc_ss_en_xcic23in00f_20231202_20231220,2023-12-08,199178,2773,1994,9239.7,0,0,0,0,0,0,0,Amazon WRS Campaign (Nov-Dec 2023),Sale,Meta,Delhi + NCR,,,,,,,,,,
Amazon Fashion WRS Dec 23 Sale - (WT) - CPC,2023-12-08,Amazon Fashion WRS Dec 23 Sale - Mumbai + Thane,afa_2023_aw_in-maharashtra-mumbai_facebook_social_plc_des/mob_webapp_ros_disp_FBIG-wrsale-Sus-mf-mum-Bags_disp_standrd_1 x 1_na_na_cpc_ss_en_xcic23in00f_20231202_20231220,2023-12-08,549117,5243,3834,21045.05,0,0,0,0,0,0,0,Amazon WRS Campaign (Nov-Dec 2023),Sale,Meta,Mumbai + Thane,,,,,,,,,,
Amazon Fashion WRS Dec 23 Sale - (WT) - CPC,2023-12-08,Amazon Fashion WRS Dec 23 Sale - Mumbai + Thane,afa_2023_aw_in-maharashtra-mumbai_facebook_social_plc_des/mob_webapp_ros_disp_FBIG-wrsale-Sus-mf-mum-Apparel_disp_standrd_1 x 1_na_na_cpc_ss_en_xcic23in00f_20231202_20231220,2023-12-08,45840,387,279,1440.97,0,0,0,0,0,0,0,Amazon WRS Campaign (Nov-Dec 2023),Sale,Meta,Mumbai + Thane,,,,,,,,,,
Amazon Fashion WRS Dec 23 Sale - (WT) - CPC,2023-12-08,Amazon Fashion WRS Dec 23 Sale - Mumbai + Thane,afa_2023_aw_in-maharashtra-mumbai_facebook_social_plc_des/mob_webapp_ros_disp_FBIG-wrsale-Sus-mf-mum-Mens-Apparrel_disp_standrd_1 x 1_na_na_cpc_ss_en_xcic23in00f_20231202_20231220,2023-12-08,115009,1259,899,4584.79,0,0,0,0,0,0,0,Amazon WRS Campaign (Nov-Dec 2023),Sale,Meta,Mumbai + Thane,,,,,,,,,,
