Date,Publisher,Campaign Name,Accrual Campaign Name,Concept Name,Geo,Impressions,Engagements,Clicks,Views,25% Views,50% Views,75% Views,100% Views,Spends,Device,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Reach
2023-12-08,Paytm,Sale,Amazon WRS Campaign (Nov-Dec 2023),Female Apparel,Bangalore,631974,,1990,,,,,,25279,,,,,,,,
2023-12-08,Paytm,Sale,Amazon WRS Campaign (Nov-Dec 2023),Female Footwear,Bangalore,717665,,2535,,,,,,28707,,,,,,,,
2023-12-08,Paytm,Sale,Amazon WRS Campaign (Nov-Dec 2023),Handbags,Bangalore,733727,,2894,,,,,,29349,,,,,,,,
2023-12-08,Paytm,Sale,Amazon WRS Campaign (Nov-Dec 2023),Luggage,Bangalore,710295,,3031,,,,,,28412,,,,,,,,
2023-12-08,Paytm,Sale,Amazon WRS Campaign (Nov-Dec 2023),Men Apparel,Bangalore,555482,,2077,,,,,,22219,,,,,,,,
2023-12-08,Paytm,Sale,Amazon WRS Campaign (Nov-Dec 2023),Female Apparel,Delhi,5864122,,20050,,,,,,234565,,,,,,,,
2023-12-08,Paytm,Sale,Amazon WRS Campaign (Nov-Dec 2023),Female Footwear,Delhi,5866930,,20045,,,,,,234677,,,,,,,,
2023-12-08,Paytm,Sale,Amazon WRS Campaign (Nov-Dec 2023),Handbags,Delhi,6594911,,27444,,,,,,263796,,,,,,,,
2023-12-08,Paytm,Sale,Amazon WRS Campaign (Nov-Dec 2023),Luggage,Delhi,7450681,,38440,,,,,,298027,,,,,,,,
2023-12-08,Paytm,Sale,Amazon WRS Campaign (Nov-Dec 2023),Men Apparel,Delhi,6000409,,21171,,,,,,240016,,,,,,,,
2023-12-08,Paytm,Sale,Amazon WRS Campaign (Nov-Dec 2023),Female Apparel,Hyderabad,401538,,1247,,,,,,16062,,,,,,,,
2023-12-08,Paytm,Sale,Amazon WRS Campaign (Nov-Dec 2023),Female Footwear,Hyderabad,402722,,1174,,,,,,16109,,,,,,,,
2023-12-08,Paytm,Sale,Amazon WRS Campaign (Nov-Dec 2023),Handbags,Hyderabad,1346839,,5456,,,,,,53874,,,,,,,,
2023-12-08,Paytm,Sale,Amazon WRS Campaign (Nov-Dec 2023),Luggage,Hyderabad,2526309,,12795,,,,,,101052,,,,,,,,
2023-12-08,Paytm,Sale,Amazon WRS Campaign (Nov-Dec 2023),Men Apparel,Hyderabad,402961,,1286,,,,,,16118,,,,,,,,
2023-12-08,Paytm,Sale,Amazon WRS Campaign (Nov-Dec 2023),Female Apparel,Kolkata,579467,,2443,,,,,,23179,,,,,,,,
2023-12-08,Paytm,Sale,Amazon WRS Campaign (Nov-Dec 2023),Female Footwear,Kolkata,579401,,2531,,,,,,23176,,,,,,,,
2023-12-08,Paytm,Sale,Amazon WRS Campaign (Nov-Dec 2023),Handbags,Kolkata,2035985,,9500,,,,,,81439,,,,,,,,
2023-12-08,Paytm,Sale,Amazon WRS Campaign (Nov-Dec 2023),Luggage,Kolkata,3465678,,15312,,,,,,138627,,,,,,,,
2023-12-08,Paytm,Sale,Amazon WRS Campaign (Nov-Dec 2023),Men Apparel,Kolkata,579096,,2571,,,,,,23164,,,,,,,,
2023-12-08,Paytm,Sale,Amazon WRS Campaign (Nov-Dec 2023),Female Apparel,Mumbai,1772526,,5412,,,,,,70901,,,,,,,,
2023-12-08,Paytm,Sale,Amazon WRS Campaign (Nov-Dec 2023),Female Footwear,Mumbai,1677073,,5604,,,,,,71083,,,,,,,,
2023-12-08,Paytm,Sale,Amazon WRS Campaign (Nov-Dec 2023),Handbags,Mumbai,4001136,,16950,,,,,,160045,,,,,,,,
2023-12-08,Paytm,Sale,Amazon WRS Campaign (Nov-Dec 2023),Luggage,Mumbai,6035561,,26744,,,,,,241422,,,,,,,,
2023-12-08,Paytm,Sale,Amazon WRS Campaign (Nov-Dec 2023),Men Apparel,Mumbai,1572034,,5593,,,,,,62881,,,,,,,,
2023-12-08,Paytm,Sale,Amazon WRS Campaign (Nov-Dec 2023),Female Apparel,T17,594110,,2079,,,,,,23764,,,,,,,,
2023-12-08,Paytm,Sale,Amazon WRS Campaign (Nov-Dec 2023),Female Footwear,T17,599803,,1563,,,,,,23992,,,,,,,,
2023-12-08,Paytm,Sale,Amazon WRS Campaign (Nov-Dec 2023),Handbags,T17,1932435,,9043,,,,,,77297,,,,,,,,
2023-12-08,Paytm,Sale,Amazon WRS Campaign (Nov-Dec 2023),Luggage,T17,7424210,,30907,,,,,,296968,,,,,,,,
2023-12-08,Paytm,Sale,Amazon WRS Campaign (Nov-Dec 2023),Men Apparel,T17,598217,,2372,,,,,,23929,,,,,,,,
