Date,Publisher,Campaign Name,Accrual Campaign Name,Concept Name,Geo,Impressions,Clicks,Device,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Engagements,Reach,Views,25% Views,50% Views,75% Views,100% Views,Spends
2023-12-08,phonepe,Sale,Amazon WRS Campaign (Nov-Dec 2023),OF-24779_Amazon_HomeATF_Delhi+NCR_MenApparel,Delhi+NCR,244995,174,,,,,,,,,,,,,,,
2023-12-09,phonepe,Sale,Amazon WRS Campaign (Nov-Dec 2023),OF-24779_Amazon_HomeATF_Delhi+NCR_MenApparel,Delhi+NCR,258670,799,,,,,,,,,,,,,,,
2023-12-10,phonepe,Sale,Amazon WRS Campaign (Nov-Dec 2023),OF-24779_Amazon_HomeATF_Delhi+NCR_MenApparel,Delhi+NCR,243169,678,,,,,,,,,,,,,,,
2023-12-11,phonepe,Sale,Amazon WRS Campaign (Nov-Dec 2023),OF-24779_Amazon_HomeATF_Delhi+NCR_MenApparel,Delhi+NCR,293236,774,,,,,,,,,,,,,,,
2023-12-12,phonepe,Sale,Amazon WRS Campaign (Nov-Dec 2023),OF-24779_Amazon_HomeATF_Delhi+NCR_MenApparel,Delhi+NCR,303497,764,,,,,,,,,,,,,,,
2023-12-13,phonepe,Sale,Amazon WRS Campaign (Nov-Dec 2023),OF-24779_Amazon_HomeATF_Delhi+NCR_MenApparel,Delhi+NCR,300395,705,,,,,,,,,,,,,,,
2023-12-08,phonepe,Sale,Amazon WRS Campaign (Nov-Dec 2023),OF-24779_Amazon_HomeBTF_Delhi+NCR_WomenApparel,Delhi+NCR,35921,41,,,,,,,,,,,,,,,
2023-12-09,phonepe,Sale,Amazon WRS Campaign (Nov-Dec 2023),OF-24779_Amazon_HomeBTF_Delhi+NCR_WomenApparel,Delhi+NCR,43522,34,,,,,,,,,,,,,,,
2023-12-10,phonepe,Sale,Amazon WRS Campaign (Nov-Dec 2023),OF-24779_Amazon_HomeBTF_Delhi+NCR_WomenApparel,Delhi+NCR,50265,46,,,,,,,,,,,,,,,
2023-12-11,phonepe,Sale,Amazon WRS Campaign (Nov-Dec 2023),OF-24779_Amazon_HomeBTF_Delhi+NCR_WomenApparel,Delhi+NCR,61420,58,,,,,,,,,,,,,,,
2023-12-12,phonepe,Sale,Amazon WRS Campaign (Nov-Dec 2023),OF-24779_Amazon_HomeBTF_Delhi+NCR_WomenApparel,Delhi+NCR,141840,154,,,,,,,,,,,,,,,
2023-12-13,phonepe,Sale,Amazon WRS Campaign (Nov-Dec 2023),OF-24779_Amazon_HomeBTF_Delhi+NCR_WomenApparel,Delhi+NCR,39170,40,,,,,,,,,,,,,,,
2023-12-08,phonepe,Sale,Amazon WRS Campaign (Nov-Dec 2023),OF-24779_Amazon_PT_Delhi+NCR_Footwear,Delhi+NCR,215789,881,,,,,,,,,,,,,,,
2023-12-09,phonepe,Sale,Amazon WRS Campaign (Nov-Dec 2023),OF-24779_Amazon_PT_Delhi+NCR_Footwear,Delhi+NCR,215891,913,,,,,,,,,,,,,,,
2023-12-10,phonepe,Sale,Amazon WRS Campaign (Nov-Dec 2023),OF-24779_Amazon_PT_Delhi+NCR_Footwear,Delhi+NCR,216326,721,,,,,,,,,,,,,,,
2023-12-11,phonepe,Sale,Amazon WRS Campaign (Nov-Dec 2023),OF-24779_Amazon_PT_Delhi+NCR_Footwear,Delhi+NCR,270143,940,,,,,,,,,,,,,,,
2023-12-12,phonepe,Sale,Amazon WRS Campaign (Nov-Dec 2023),OF-24779_Amazon_PT_Delhi+NCR_Footwear,Delhi+NCR,269504,851,,,,,,,,,,,,,,,
2023-12-13,phonepe,Sale,Amazon WRS Campaign (Nov-Dec 2023),OF-24779_Amazon_PT_Delhi+NCR_Footwear,Delhi+NCR,269386,829,,,,,,,,,,,,,,,
2023-12-08,phonepe,Sale,Amazon WRS Campaign (Nov-Dec 2023),OF-24779_Amazon_HomeATF_Mumbai+Thane_WomenApparel,Mumbai+Thane,248249,174,,,,,,,,,,,,,,,
2023-12-09,phonepe,Sale,Amazon WRS Campaign (Nov-Dec 2023),OF-24779_Amazon_HomeATF_Mumbai+Thane_WomenApparel,Mumbai+Thane,282506,803,,,,,,,,,,,,,,,
2023-12-10,phonepe,Sale,Amazon WRS Campaign (Nov-Dec 2023),OF-24779_Amazon_HomeATF_Mumbai+Thane_WomenApparel,Mumbai+Thane,257051,707,,,,,,,,,,,,,,,
2023-12-11,phonepe,Sale,Amazon WRS Campaign (Nov-Dec 2023),OF-24779_Amazon_HomeATF_Mumbai+Thane_WomenApparel,Mumbai+Thane,384434,973,,,,,,,,,,,,,,,
2023-12-12,phonepe,Sale,Amazon WRS Campaign (Nov-Dec 2023),OF-24779_Amazon_HomeATF_Mumbai+Thane_WomenApparel,Mumbai+Thane,386335,969,,,,,,,,,,,,,,,
2023-12-13,phonepe,Sale,Amazon WRS Campaign (Nov-Dec 2023),OF-24779_Amazon_HomeATF_Mumbai+Thane_WomenApparel,Mumbai+Thane,356714,857,,,,,,,,,,,,,,,
2023-12-08,phonepe,Sale,Amazon WRS Campaign (Nov-Dec 2023),OF-24779_Amazon_HomeBTF_Mumbai+Thane_Footwear,Mumbai+Thane,4836,6,,,,,,,,,,,,,,,
2023-12-09,phonepe,Sale,Amazon WRS Campaign (Nov-Dec 2023),OF-24779_Amazon_HomeBTF_Mumbai+Thane_Footwear,Mumbai+Thane,7970,13,,,,,,,,,,,,,,,
2023-12-10,phonepe,Sale,Amazon WRS Campaign (Nov-Dec 2023),OF-24779_Amazon_HomeBTF_Mumbai+Thane_Footwear,Mumbai+Thane,13084,14,,,,,,,,,,,,,,,
2023-12-11,phonepe,Sale,Amazon WRS Campaign (Nov-Dec 2023),OF-24779_Amazon_HomeBTF_Mumbai+Thane_Footwear,Mumbai+Thane,13408,12,,,,,,,,,,,,,,,
2023-12-12,phonepe,Sale,Amazon WRS Campaign (Nov-Dec 2023),OF-24779_Amazon_HomeBTF_Mumbai+Thane_Footwear,Mumbai+Thane,31780,33,,,,,,,,,,,,,,,
2023-12-13,phonepe,Sale,Amazon WRS Campaign (Nov-Dec 2023),OF-24779_Amazon_HomeBTF_Mumbai+Thane_Footwear,Mumbai+Thane,7667,8,,,,,,,,,,,,,,,
2023-12-08,phonepe,Sale,Amazon WRS Campaign (Nov-Dec 2023),OF-24779_Amazon_PT_Mumbai+Thane_Travel,Mumbai+Thane,230386,943,,,,,,,,,,,,,,,
2023-12-09,phonepe,Sale,Amazon WRS Campaign (Nov-Dec 2023),OF-24779_Amazon_PT_Mumbai+Thane_Travel,Mumbai+Thane,224993,1011,,,,,,,,,,,,,,,
2023-12-10,phonepe,Sale,Amazon WRS Campaign (Nov-Dec 2023),OF-24779_Amazon_PT_Mumbai+Thane_Travel,Mumbai+Thane,237228,821,,,,,,,,,,,,,,,
