Date,Publisher,Campaign Name,Accrual Campaign Name,Concept Name,Geo,Impressions,Clicks,Device,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Engagements,Reach,Views,25% Views,50% Views,75% Views,100% Views,Spends
2023-12-09,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_p1_RO T17_Luxbeauty,,1150461,12048,,,,,,,,,,,,,,,
2023-12-09,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_p1_RO T17_Jewellery,,28317252,364546,,,,,,,,,,,,,,,
2023-12-09,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_p1_RO T17_Watches,,1148387,11893,,,,,,,,,,,,,,,
2023-12-09,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_p1_RO T17_Apparel,,1189536,13163,,,,,,,,,,,,,,,
2023-12-09,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_p1_RO T17_Bag,,1150551,12071,,,,,,,,,,,,,,,
2023-12-09,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_p1_RO T17_Footwear,,1174798,12511,,,,,,,,,,,,,,,
2023-12-09,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_p1_RO T17_Handbags,,1155063,12261,,,,,,,,,,,,,,,
2023-12-09,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_p1_RO T17_Mens_Apparel,,1205386,12647,,,,,,,,,,,,,,,
2023-12-09,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_p1_RO T17_Travel Luggage,,1143371,11648,,,,,,,,,,,,,,,
2023-12-10,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_p1_RO T17_Luxbeauty,,1134635,12002,,,,,,,,,,,,,,,
2023-12-10,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_p1_RO T17_Jewellery,,28664427,386928,,,,,,,,,,,,,,,
2023-12-10,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_p1_RO T17_Watches,,1132683,12049,,,,,,,,,,,,,,,
2023-12-10,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_p1_RO T17_Apparel,,1168121,13182,,,,,,,,,,,,,,,
2023-12-10,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_p1_RO T17_Bag,,1136904,12067,,,,,,,,,,,,,,,
2023-12-10,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_p1_RO T17_Footwear,,1155247,12577,,,,,,,,,,,,,,,
2023-12-10,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_p1_RO T17_Handbags,,1134650,12382,,,,,,,,,,,,,,,
2023-12-10,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_p1_RO T17_Mens_Apparel,,1138507,12100,,,,,,,,,,,,,,,
2023-12-10,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_p1_RO T17_Travel Luggage,,1125846,11945,,,,,,,,,,,,,,,
2023-12-10,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_P0_T5_Jewellery,,1055877,11571,,,,,,,,,,,,,,,
2023-12-10,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_Dec 23 WRS_P0_T5_Apparel,,3284656,40149,,,,,,,,,,,,,,,
2023-12-10,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_WRS_P0_T5_Travel Luggage,,1045762,11096,,,,,,,,,,,,,,,
2023-12-10,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_WRS_P0_T5_Luxbeauty,,1050033,11336,,,,,,,,,,,,,,,
2023-12-10,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_WRS_P0_T5_Watches,,1048581,11240,,,,,,,,,,,,,,,
2023-12-10,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23_WRS_P0_T5_Bag,,23646900,315767,,,,,,,,,,,,,,,
2023-12-10,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_p1_WRS_P0_T5_Footwear,,1053630,11477,,,,,,,,,,,,,,,
2023-12-10,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_p1_WRS_P0_T5_Handbags,,1038894,11096,,,,,,,,,,,,,,,
2023-12-10,Truecaller-Impact,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon Amazon_Fashion_Dec 23 WRS_p1_WRS_P0_T5_Mens_Apparel,,1052506,11496,,,,,,,,,,,,,,,
