Date,Publisher,Campaign Name,Accrual Campaign Name,Concept Name,Geo,Impressions,Clicks,Device,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Engagements,Reach,Views,25% Views,50% Views,75% Views,100% Views,Spends
2023-12-08,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Delhi NCR_Footwear,Delhi NCR,113563,1146,,,,,,,,,,,,,,,
2023-12-08,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Delhi NCR_Bags,Delhi NCR,113183,1082,,,,,,,,,,,,,,,
2023-12-08,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Delhi NCR_Luxbeauty,Delhi NCR,114211,1120,,,,,,,,,,,,,,,
2023-12-08,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Delhi NCR_Watches,Delhi NCR,113316,1060,,,,,,,,,,,,,,,
2023-12-08,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Delhi NCR_Apparel,Delhi NCR,114062,1117,,,,,,,,,,,,,,,
2023-12-08,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Delhi NCR_Jewellery,Delhi NCR,114288,1080,,,,,,,,,,,,,,,
2023-12-08,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Delhi NCR_Hand Bags,Delhi NCR,112871,1107,,,,,,,,,,,,,,,
2023-12-08,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Delhi NCR_Mens Apparel,Delhi NCR,113832,1131,,,,,,,,,,,,,,,
2023-12-08,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Delhi NCR_Travel luaggage,Delhi NCR,112843,1126,,,,,,,,,,,,,,,
2023-12-08,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Hydrabad_Footwear,Hyderabad,294641,3174,,,,,,,,,,,,,,,
2023-12-08,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Hydrabad _Bag,Hyderabad,292968,3147,,,,,,,,,,,,,,,
2023-12-08,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Hyderabad_Watches,Hyderabad,51694,577,,,,,,,,,,,,,,,
2023-12-08,Truecaller,Sale,Amazon WRS Campaign (Nov-Dec 2023),Amazon WRS Sustenance CPC_IN_Hyderabad_Jewellery,Hyderabad,51707,563,,,,,,,,,,,,,,,
