Date,Publisher,Campaign Name,Accrual Campaign Name,Concept Name,Geo,Impressions,Clicks,Device,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Engagements,Reach,Views,25% Views,50% Views,75% Views,100% Views,Spends
2023-12-08,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Handbags,,47367,45,,,,,,,,,,,,,,,
2023-12-08,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Footwear,,100064,144,,,,,,,,,,,,,,,
2023-12-08,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Travel,,124566,163,,,,,,,,,,,,,,,
2023-12-08,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Travel,,29548,36,,,,,,,,,,,,,,,
2023-12-08,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Women Apparel,,231022,304,,,,,,,,,,,,,,,
2023-12-08,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Handbags,,113477,164,,,,,,,,,,,,,,,
2023-12-08,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Mens Apparel,,183680,296,,,,,,,,,,,,,,,
2023-12-08,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Women Apparel,,226072,422,,,,,,,,,,,,,,,
2023-12-08,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Footwear,,86143,116,,,,,,,,,,,,,,,
2023-12-08,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Mens Apparel,,45838,49,,,,,,,,,,,,,,,
2023-12-09,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Handbags,,15802,34,,,,,,,,,,,,,,,
2023-12-09,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Footwear,,80318,135,,,,,,,,,,,,,,,
2023-12-09,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Travel,,58173,73,,,,,,,,,,,,,,,
2023-12-09,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Travel,,16639,27,,,,,,,,,,,,,,,
2023-12-09,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Women Apparel,,119789,198,,,,,,,,,,,,,,,
2023-12-09,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Handbags,,72023,100,,,,,,,,,,,,,,,
2023-12-09,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Mens Apparel,,115936,257,,,,,,,,,,,,,,,
2023-12-09,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Mens Apparel,,138862,289,,,,,,,,,,,,,,,
2023-12-09,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Footwear,,79182,80,,,,,,,,,,,,,,,
2023-12-09,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Mens Apparel,,15438,27,,,,,,,,,,,,,,,
2023-12-10,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Footwear,,114741,443,,,,,,,,,,,,,,,
2023-12-10,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Travel,,43188,170,,,,,,,,,,,,,,,
2023-12-10,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Women Apparel,,119059,181,,,,,,,,,,,,,,,
2023-12-10,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Handbags,,115287,440,,,,,,,,,,,,,,,
2023-12-10,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Women Apparel,,125302,532,,,,,,,,,,,,,,,
2023-12-10,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Mens Apparel,,385199,580,,,,,,,,,,,,,,,
2023-12-10,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Handbags,,211485,316,,,,,,,,,,,,,,,
2023-12-10,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Travel,,55723,71,,,,,,,,,,,,,,,
2023-12-10,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Mens Apparel,,27869,99,,,,,,,,,,,,,,,
2023-12-10,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Footwear,,55494,75,,,,,,,,,,,,,,,
2023-12-11,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Footwear,,387718,884,,,,,,,,,,,,,,,
2023-12-11,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Travel,,240805,440,,,,,,,,,,,,,,,
2023-12-11,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Women Apparel,,157545,182,,,,,,,,,,,,,,,
2023-12-11,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Handbags,,359110,838,,,,,,,,,,,,,,,
2023-12-11,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Women Apparel,,390443,886,,,,,,,,,,,,,,,
2023-12-11,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Mens Apparel,,230879,294,,,,,,,,,,,,,,,
2023-12-11,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Handbags,,524363,709,,,,,,,,,,,,,,,
2023-12-11,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Travel,,66565,93,,,,,,,,,,,,,,,
2023-12-11,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Mens Apparel,,216179,348,,,,,,,,,,,,,,,
2023-12-11,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Footwear,,67839,96,,,,,,,,,,,,,,,
2023-12-12,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Footwear,,100031,176,,,,,,,,,,,,,,,
2023-12-12,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Travel,,81936,137,,,,,,,,,,,,,,,
2023-12-12,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Women Apparel,,21717,30,,,,,,,,,,,,,,,
2023-12-12,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Handbags,,131603,265,,,,,,,,,,,,,,,
2023-12-12,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Women Apparel,,173261,319,,,,,,,,,,,,,,,
2023-12-12,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Mens Apparel,,186012,199,,,,,,,,,,,,,,,
2023-12-12,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Handbags,,74266,111,,,,,,,,,,,,,,,
2023-12-12,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Travel,,21705,23,,,,,,,,,,,,,,,
2023-12-12,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Mens Apparel,,77777,123,,,,,,,,,,,,,,,
2023-12-12,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Footwear,,35468,38,,,,,,,,,,,,,,,
2023-12-13,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Footwear,,40,0,,,,,,,,,,,,,,,
2023-12-13,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Travel,,28,0,,,,,,,,,,,,,,,
2023-12-13,Vijay,Sale,Amazon WRS Campaign (Nov-Dec 2023),Travel,,3,0,,,,,,,,,,,,,,,
