Date,Publisher,Campaign Name,Accrual Campaign Name,Concept Name,Geo,Impressions,Engagements,Clicks,Views,25% Views,50% Views,75% Views,100% Views,Spends,Device,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Reach
2023-11-08,Hipi, Wave3,Amz Jupiter 23,Consumables -NTA,"18-45 MF, Non shoppers",33825,,563,,,,,,3382.5,,,,,,,,
2023-11-08,Hipi, Wave3,Amz Jupiter 23,Consumables -NTA,"18-45 MF, Online shoppers Excl. Amazon App Users",84034,,1452,,,,,,8403.4,,,,,,,,
2023-11-08,Hipi, Wave3,Amz Jupiter 23,Wireless - NTA,"18-45 MF, Non shoppers",972420,,32923,,,,,,97242.0,,,,,,,,
2023-11-08,Hipi, Wave3,Amz Jupiter 23,Wireless - NTA,"18-45 MF, Online shoppers Excl. Amazon App Users",32345,,711,,,,,,3234.5,,,,,,,,
2023-11-08,Hipi, Wave3,Amz Jupiter 23,Softlines - NTA,"18-45 MF, Online shoppers Excl. Amazon App Users",501609,,19402,,,,,,50160.9,,,,,,,,
2023-11-08,Hipi, Wave3,Amz Jupiter 23,OHL - NTA,"18-45 MF, Online shoppers Excl. Amazon App Users",124524,,3435,,,,,,12452.4,,,,,,,,
2023-11-08,Hipi, Wave3,Amz Jupiter 23,Wireless - OPS,"18-45 MF, Online shoppers Excl. Amazon App Users",509402,,18707,,,,,,50940.2,,,,,,,,
2023-11-08,Hipi, Wave3,Amz Jupiter 23,Softlines - OPS,"18-45 MF, Online shoppers Excl. Amazon App Users",31533,,1346,,,,,,3153.3,,,,,,,,
2023-11-08,Hipi, Wave3,Amz Jupiter 23,OHL - OPS,"18-45 MF, Online shoppers Excl. Amazon App Users",319611,,11013,,,,,,31961.1,,,,,,,,
2023-11-08,Hipi, Wave3,Amz Jupiter 23,Softlines - OPS (Ananya),"18-45 MF, Online shoppers Excl. Amazon App Users",113149,,1574,,,,,,11314.9,,,,,,,,
2023-11-08,Hipi, Wave3,Amz Jupiter 23,Softlines - NTA (Ananya),"18-45 MF, Online shoppers Excl. Amazon App Users",162799,,6399,,,,,,16279.9,,,,,,,,
2023-11-09,Hipi, Wave3,Amz Jupiter 23,Softlines - NTA,"18-45 MF, Non shoppers",817024,,28831,,,,,,81702.4,,,,,,,,
2023-11-09,Hipi, Wave3,Amz Jupiter 23,Wireless - NTA,"18-45 MF, Non shoppers",130149,,3856,,,,,,13014.9,,,,,,,,
2023-11-09,Hipi, Wave3,Amz Jupiter 23,Softlines - NTA,"18-45 MF, Online shoppers Excl. Amazon App Users",819133,,29737,,,,,,81913.3,,,,,,,,
2023-11-09,Hipi, Wave3,Amz Jupiter 23,OHL - OPS,"18-45 MF, Online shoppers Excl. Amazon App Users",850089,,29199,,,,,,85008.9,,,,,,,,
2023-11-09,Hipi, Wave3,Amz Jupiter 23,Softlines - OPS (Ananya),"18-45 MF, Online shoppers Excl. Amazon App Users",45208,,571,,,,,,4520.8,,,,,,,,
2023-11-09,Hipi, Wave3,Amz Jupiter 23,Softlines - NTA (Ananya),"18-45 MF, Online shoppers Excl. Amazon App Users",53692,,1792,,,,,,5369.2,,,,,,,,
