Date,Publisher,Campaign Name,Accrual Campaign Name,Concept Name,Geo,Impressions,Engagements,Clicks,Views,25% Views,50% Views,75% Views,100% Views,Spends,Device,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Reach
2023-11-08,Mcanvas, Wave3,Amz Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 as-ops-ohl,"18-45 MF, Amz shoppers,India",149028,,8607,,,,,,38731.5,,,,,,,,
2023-11-08,Mcanvas, Wave3,Amz Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 as-ops-sftln 1,"18-45 MF, Amz shoppers,India",60062,,3412,,,,,,15354.0,,,,,,,,
2023-11-08,Mcanvas, Wave3,Amz Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 as-ops-sftln 2,"18-45 MF, Amz shoppers,India",49709,,3504,,,,,,15768.0,,,,,,,,
2023-11-08,Mcanvas, Wave3,Amz Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 as-ops-wlops,"18-45 MF, Amz shoppers,India",149586,,8523,,,,,,38353.5,,,,,,,,
2023-11-08,Mcanvas, Wave3,Amz Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 ns-nta-cons,"18-45 MF, Non-shoppers,India",24411,,1282,,,,,,5769.0,,,,,,,,
2023-11-08,Mcanvas, Wave3,Amz Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 ns-nta-ohl,"18-45 MF, Non-shoppers,India",34328,,2146,,,,,,9657.0,,,,,,,,
2023-11-08,Mcanvas, Wave3,Amz Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 ns-nta-sftln 1,"18-45 MF, Non-shoppers,India",53893,,4147,,,,,,18661.5,,,,,,,,
2023-11-08,Mcanvas, Wave3,Amz Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 ns-nta-sftln 2,"18-45 MF, Non-shoppers,India",56776,,4314,,,,,,19413.0,,,,,,,,
2023-11-08,Mcanvas, Wave3,Amz Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 ns-nta-wlnta,"18-45 MF, Non-shoppers,India",59130,,4685,,,,,,21082.5,,,,,,,,
2023-11-08,Mcanvas, Wave3,Amz Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 ol-nta-cons,"18-45 MF, Online shoppers, Excl. Amz shoppers,India",19137,,1299,,,,,,5845.5,,,,,,,,
