Publisher,Date,Concept Name,Geo,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Impressions,Clicks,Views,25% Views,50% Views,75% Views,100% Views,Reach,Spends,Accrual Campaign Name,Campaign Name,Device,Engagements
Ventes,2023-10-22,OPS - CEPC,Pan India,Pan India,Mobile,,Display,"18-45 MF, Amz shoppers",CPC,593344,8788,N.A,N.A,N.A,N.A,N.A,N.A,39546.0,Amz Jupiter 23,Wave-2,,
Ventes,2023-10-22,OPS - SL,Pan India,Pan India,Mobile,,Display,"18-45 MF, Amz shoppers",CPC,597094,10693,N.A,N.A,N.A,N.A,N.A,N.A,48119.0,Amz Jupiter 23,Wave-2,,
Ventes,2023-10-22,OPS - WL,Pan India,Pan India,Mobile,,Display,"18-45 MF, Amz shoppers",CPC,594876,10035,N.A,N.A,N.A,N.A,N.A,N.A,45158.0,Amz Jupiter 23,Wave-2,,
Ventes,2023-10-22,NTA - CEPC,Pan India,Pan India,Mobile,,Display,"18-45 MF,Non- Shopper",CPC,511511,6719,N.A,N.A,N.A,N.A,N.A,N.A,30236.0,Amz Jupiter 23,Wave-2,,
Ventes,2023-10-22,NTA - OHL,Pan India,Pan India,Mobile,,Display,"18-45 MF,Non- Shopper",CPC,508813,6775,N.A,N.A,N.A,N.A,N.A,N.A,30488.0,Amz Jupiter 23,Wave-2,,
Ventes,2023-10-22,NTA - WL,Pan India,Pan India,Mobile,,Display,"18-45 MF,Non- Shopper",CPC,512974,6880,N.A,N.A,N.A,N.A,N.A,N.A,30960.0,Amz Jupiter 23,Wave-2,,
Ventes,2023-10-23,NTA -CEPC,Pan India,Pan India,Mobile,,Display,"18-45 MF,Non- Shopper",CPC,395429,6547,N.A,N.A,N.A,N.A,N.A,N.A,29462.0,Amz Jupiter 23,Wave-2,,
Ventes,2023-10-23,NTA - OHL,Pan India,Pan India,Mobile,,Display,"18-45 MF,Non- Shopper",CPC,395940,6363,N.A,N.A,N.A,N.A,N.A,N.A,28634.0,Amz Jupiter 23,Wave-2,,
Ventes,2023-10-23,NTA - WL,Pan India,Pan India,Mobile,,Display,"18-45 MF,Non- Shopper",CPC,395156,6700,N.A,N.A,N.A,N.A,N.A,N.A,30150.0,Amz Jupiter 23,Wave-2,,
Ventes,2023-10-23,NTA - CEPC,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,603195,8567,N.A,N.A,N.A,N.A,N.A,N.A,38552.0,Amz Jupiter 23,Wave-2,,
Ventes,2023-10-23,OPS - SL,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,488017,7243,N.A,N.A,N.A,N.A,N.A,N.A,32594.0,Amz Jupiter 23,Wave-2,,
Ventes,2023-10-23,OPS - WL,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,469671,6574,N.A,N.A,N.A,N.A,N.A,N.A,29583.0,Amz Jupiter 23,Wave-2,,
Ventes,2023-10-23,OPS - CEPC,Pan India,Pan India,Mobile,,Display,"18-45 MF, Amz shoppers",CPC,296098,4635,N.A,N.A,N.A,N.A,N.A,N.A,20858.0,Amz Jupiter 23,Wave-2,,
