Publisher,Date,Concept Name,Aud,Geo,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Impressions,Clicks,Views,25% Views,50% Views,75% Views,100% Views,Reach,Spends,Accrual Campaign Name,Campaign Name,Device,Engagements
Ventes,2023-10-28,CEPC,NTA,Pan India,Pan India,Mobile,,Display,"18-45 MF,Non- Shopper",CPC,245863,4157,N.A,N.A,N.A,N.A,N.A,N.A,18707,Amz Jupiter 23,Wave-3,,
Ventes,2023-10-28,OHL,NTA,Pan India,Pan India,Mobile,,Display,"18-45 MF,Non- Shopper",CPC,221674,3533,N.A,N.A,N.A,N.A,N.A,N.A,15899,Amz Jupiter 23,Wave-3,,
Ventes,2023-10-28,Wireless,NTA,Pan India,Pan India,Mobile,,Display,"18-45 MF,Non- Shopper",CPC,247781,4082,N.A,N.A,N.A,N.A,N.A,N.A,18369,Amz Jupiter 23,Wave-3,,
Ventes,2023-10-28,CEPC,NTA,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,218222,3395,N.A,N.A,N.A,N.A,N.A,N.A,15278,Amz Jupiter 23,Wave-3,,
Ventes,2023-10-28,Softline,OPS,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,138380,2241,N.A,N.A,N.A,N.A,N.A,N.A,10085,Amz Jupiter 23,Wave-3,,
Ventes,2023-10-28,Wireless,OPS,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,137775,2334,N.A,N.A,N.A,N.A,N.A,N.A,10503,Amz Jupiter 23,Wave-3,,
Ventes,2023-10-28,CEPC,NTA,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,218222,3395,N.A,N.A,N.A,N.A,N.A,N.A,15278,Amz Jupiter 23,Wave-3,,
Ventes,2023-10-28,OHL,NTA,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,204856,2953,N.A,N.A,N.A,N.A,N.A,N.A,13289,Amz Jupiter 23,Wave-3,,
Ventes,2023-10-28,Wireless,NTA,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,218241,3526,N.A,N.A,N.A,N.A,N.A,N.A,15867,Amz Jupiter 23,Wave-3,,
Ventes,2023-10-28,CEPC,OPS,Pan India,Pan India,Mobile,,Display,"18-45 MF, Amz shoppers",CPC,285832,4654,N.A,N.A,N.A,N.A,N.A,N.A,20943,Amz Jupiter 23,Wave-3,,
Ventes,2023-10-28,Softline,OPS,Pan India,Pan India,Mobile,,Display,"18-45 MF, Amz shoppers",CPC,286314,4580,N.A,N.A,N.A,N.A,N.A,N.A,20610,Amz Jupiter 23,Wave-3,,
Ventes,2023-10-28,Wireless,OPS,Pan India,Pan India,Mobile,,Display,"18-45 MF, Amz shoppers",CPC,288452,4774,N.A,N.A,N.A,N.A,N.A,N.A,21483,Amz Jupiter 23,Wave-3,,
Ventes,2023-10-29,CEPC,NTA,Pan India,Pan India,Mobile,,Display,"18-45 MF,Non- Shopper",CPC,244887,3980,N.A,N.A,N.A,N.A,N.A,N.A,17910,Amz Jupiter 23,Wave-3,,
Ventes,2023-10-29,OHL,NTA,Pan India,Pan India,Mobile,,Display,"18-45 MF,Non- Shopper",CPC,223241,3436,N.A,N.A,N.A,N.A,N.A,N.A,15462,Amz Jupiter 23,Wave-3,,
Ventes,2023-10-29,Wireless,NTA,Pan India,Pan India,Mobile,,Display,"18-45 MF,Non- Shopper",CPC,245287,3948,N.A,N.A,N.A,N.A,N.A,N.A,17766,Amz Jupiter 23,Wave-3,,
Ventes,2023-10-29,CEPC,NTA,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,219859,3413,N.A,N.A,N.A,N.A,N.A,N.A,15359,Amz Jupiter 23,Wave-3,,
Ventes,2023-10-29,Softline,OPS,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,138844,2258,N.A,N.A,N.A,N.A,N.A,N.A,10161,Amz Jupiter 23,Wave-3,,
Ventes,2023-10-29,Wireless,OPS,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,140907,2481,N.A,N.A,N.A,N.A,N.A,N.A,11165,Amz Jupiter 23,Wave-3,,
Ventes,2023-10-29,CEPC,NTA,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,219859,3413,N.A,N.A,N.A,N.A,N.A,N.A,15359,Amz Jupiter 23,Wave-3,,
Ventes,2023-10-29,OHL,NTA,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,204627,2925,N.A,N.A,N.A,N.A,N.A,N.A,13163,Amz Jupiter 23,Wave-3,,
Ventes,2023-10-29,Wireless,NTA,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,218950,3737,N.A,N.A,N.A,N.A,N.A,N.A,16817,Amz Jupiter 23,Wave-3,,
Ventes,2023-10-29,CEPC,OPS,Pan India,Pan India,Mobile,,Display,"18-45 MF, Amz shoppers",CPC,290208,4854,N.A,N.A,N.A,N.A,N.A,N.A,21843,Amz Jupiter 23,Wave-3,,
Ventes,2023-10-29,Softline,OPS,Pan India,Pan India,Mobile,,Display,"18-45 MF, Amz shoppers",CPC,291614,4872,N.A,N.A,N.A,N.A,N.A,N.A,21924,Amz Jupiter 23,Wave-3,,
Ventes,2023-10-29,Wireless,OPS,Pan India,Pan India,Mobile,,Display,"18-45 MF, Amz shoppers",CPC,288896,5088,N.A,N.A,N.A,N.A,N.A,N.A,22896,Amz Jupiter 23,Wave-3,,
