Date,Publisher,Campaign Name,Accrual Campaign Name,Concept Name,Geo,Impressions,Clicks,Device,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Engagements,Reach,Views,25% Views,50% Views,75% Views,100% Views,Spends
2023-11-08,Zee5, Wave3,Amz Jupiter 23,AGIF-23_Con_300x250_NTA_Cons,,23068,56,,,,,,,,,,,,,,,
2023-11-08,Zee5, Wave3,Amz Jupiter 23,AGIF-23_OHL_300x250_OPS_OHL,,23392,73,,,,,,,,,,,,,,,
2023-11-08,Zee5, Wave3,Amz Jupiter 23,AGIF-23_TV_300x250_OPS_LATV,,23288,53,,,,,,,,,,,,,,,
2023-11-08,Zee5, Wave3,Amz Jupiter 23,AGIF-23_CEPC_300x250_OPS_CEPC,,23330,50,,,,,,,,,,,,,,,
2023-11-08,Zee5, Wave3,Amz Jupiter 23,AGIF-23_WL_300x250_WL_OPS,,23158,70,,,,,,,,,,,,,,,
2023-11-08,Zee5, Wave3,Amz Jupiter 23,AGIF-23_WL_300x250_NTA_WL,,23691,57,,,,,,,,,,,,,,,
2023-11-08,Zee5, Wave3,Amz Jupiter 23,AGIF-23_SL_300x250_NTA_SL,,23467,69,,,,,,,,,,,,,,,
2023-11-08,Zee5, Wave3,Amz Jupiter 23,AGIF-23_SL_300x250_OPS_SL,,23560,68,,,,,,,,,,,,,,,
2023-11-08,Zee5, Wave3,Amz Jupiter 23,AGIF-23_OHL_300x250_NTA_OHL,,23350,70,,,,,,,,,,,,,,,
2023-11-08,Zee5, Wave3,Amz Jupiter 23,AGIF-23_CEPC_300x250_NTA_CEPC,,23175,65,,,,,,,,,,,,,,,
2023-11-09,Zee5, Wave3,Amz Jupiter 23,AGIF-23_Con_300x250_NTA_Cons,,22273,55,,,,,,,,,,,,,,,
2023-11-09,Zee5, Wave3,Amz Jupiter 23,AGIF-23_OHL_300x250_OPS_OHL,,22112,64,,,,,,,,,,,,,,,
2023-11-09,Zee5, Wave3,Amz Jupiter 23,AGIF-23_TV_300x250_OPS_LATV,,22237,63,,,,,,,,,,,,,,,
2023-11-09,Zee5, Wave3,Amz Jupiter 23,AGIF-23_CEPC_300x250_OPS_CEPC,,22257,61,,,,,,,,,,,,,,,
2023-11-09,Zee5, Wave3,Amz Jupiter 23,AGIF-23_WL_300x250_WL_OPS,,22272,60,,,,,,,,,,,,,,,
2023-11-09,Zee5, Wave3,Amz Jupiter 23,AGIF-23_WL_300x250_NTA_WL,,22559,56,,,,,,,,,,,,,,,
2023-11-09,Zee5, Wave3,Amz Jupiter 23,AGIF-23_SL_300x250_NTA_SL,,22221,49,,,,,,,,,,,,,,,
2023-11-09,Zee5, Wave3,Amz Jupiter 23,AGIF-23_SL_300x250_OPS_SL,,22321,53,,,,,,,,,,,,,,,
2023-11-09,Zee5, Wave3,Amz Jupiter 23,AGIF-23_OHL_300x250_NTA_OHL,,22080,61,,,,,,,,,,,,,,,
2023-11-09,Zee5, Wave3,Amz Jupiter 23,AGIF-23_CEPC_300x250_NTA_CEPC,,22181,50,,,,,,,,,,,,,,,
