Date,Publisher,Campaign Name,Accrual Campaign Name,Concept Name,Geo,Impressions,Engagements,Clicks,Views,25% Views,50% Views,75% Views,100% Views,Spends,Device,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Reach
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,Amazon_Apay_336X280,Ahmedbad,12361,,77,,,,,,,,,,,,,,
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,Amazon_Apay_300X250,Ahmedbad,5647,,71,,,,,,,,,,,,,,
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,Amazon_Apay_320X480,Ahmedbad,3658,,73,,,,,,,,,,,,,,
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,Amazon_Apay_300X250,Bangalore,12584,,54,,,,,,,,,,,,,,
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,Amazon_Apay_320X480,Bangalore,8152,,38,,,,,,,,,,,,,,
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,Amazon_Apay_336X280,Bangalore,6224,,83,,,,,,,,,,,,,,
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,Amazon_Apay_300X250,Chennai,8439,,121,,,,,,,,,,,,,,
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,Amazon_Apay_336X280,Chennai,13598,,89,,,,,,,,,,,,,,
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,Amazon_Apay_320X480,Chennai,7231,,49,,,,,,,,,,,,,,
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,Amazon_Apay_300X250,Coimbatore,12611,,142,,,,,,,,,,,,,,
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,Amazon_Apay_336X280,Coimbatore,7285,,91,,,,,,,,,,,,,,
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,Amazon_Apay_320X480,Coimbatore,3301,,47,,,,,,,,,,,,,,
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,Amazon_Apay_320X480,"Delhi,Delhi,India",8891,,122,,,,,,,,,,,,,,
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,Amazon_Apay_300X250,"Delhi,Delhi,India",13448,,88,,,,,,,,,,,,,,
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,Amazon_Apay_336X280,"Delhi,Delhi,India",8418,,101,,,,,,,,,,,,,,
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,Amazon_Apay_320X480,Ernamkulam,13931,,232,,,,,,,,,,,,,,
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,Amazon_Apay_336X280,Ernamkulam,11921,,80,,,,,,,,,,,,,,
2022-12-26,VI,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,Amazon_Apay_300X250,Ernamkulam,10061,,102,,,,,,,,,,,,,,
