Date,Publisher,Campaign Name,Accrual campaign name,Concept Name,GEO,Impressions,Engagements,Clicks,Views,25% Views,50% Views,75% Views,100% Views,Spends
2023-10-18,Ixigo,Amz Pay Q3 23,Amz Pay Q3 23,KV 1- Bill Payment,Mumbai,7692,,15,,,,,,
2023-10-18,Ixigo,Amz Pay Q3 23,Amz Pay Q3 23,KV 2- Pay in 1-click,Mumbai,7824,,18,,,,,,
2023-10-18,Ixigo,Amz Pay Q3 23,Amz Pay Q3 23,KV 3- Zero Convenience,Mumbai,7810,,13,,,,,,
2023-10-18,Ixigo,Amz Pay Q3 23,Amz Pay Q3 23,KV 4- Mobile Recharge,Mumbai,7751,,14,,,,,,
2023-10-18,Ixigo,Amz Pay Q3 23,Amz Pay Q3 23,KV 1- Bill Payment,Delhi NCR,9935,,18,,,,,,
2023-10-18,Ixigo,Amz Pay Q3 23,Amz Pay Q3 23,KV 2- Pay in 1-click,Delhi NCR,9866,,23,,,,,,
2023-10-18,Ixigo,Amz Pay Q3 23,Amz Pay Q3 23,KV 3- Zero Convenience,Delhi NCR,9790,,13,,,,,,
2023-10-18,Ixigo,Amz Pay Q3 23,Amz Pay Q3 23,KV 4- Mobile Recharge,Delhi NCR,9922,,18,,,,,,
2023-10-18,Ixigo,Amz Pay Q3 23,Amz Pay Q3 23,KV 1- Bill Payment,Bangalore,3468,,9,,,,,,
2023-10-18,Ixigo,Amz Pay Q3 23,Amz Pay Q3 23,KV 2- Pay in 1-click,Bangalore,3470,,10,,,,,,
2023-10-18,Ixigo,Amz Pay Q3 23,Amz Pay Q3 23,KV 3- Zero Convenience,Bangalore,3495,,6,,,,,,
2023-10-18,Ixigo,Amz Pay Q3 23,Amz Pay Q3 23,KV 4- Mobile Recharge,Bangalore,3436,,6,,,,,,
2023-10-18,Ixigo,Amz Pay Q3 23,Amz Pay Q3 23,KV 1- Bill Payment,Chennai,950,,5,,,,,,
2023-10-18,Ixigo,Amz Pay Q3 23,Amz Pay Q3 23,KV 2- Pay in 1-click,Chennai,901,,1,,,,,,
2023-10-18,Ixigo,Amz Pay Q3 23,Amz Pay Q3 23,KV 3- Zero Convenience,Chennai,891,,3,,,,,,
2023-10-18,Ixigo,Amz Pay Q3 23,Amz Pay Q3 23,KV 4- Mobile Recharge,Chennai,907,,1,,,,,,
2023-10-18,Ixigo,Amz Pay Q3 23,Amz Pay Q3 23,KV 1- Bill Payment,Pune,1592,,3,,,,,,
2023-10-18,Ixigo,Amz Pay Q3 23,Amz Pay Q3 23,KV 2- Pay in 1-click,Pune,1527,,2,,,,,,
2023-10-18,Ixigo,Amz Pay Q3 23,Amz Pay Q3 23,KV 3- Zero Convenience,Pune,1534,,1,,,,,,
2023-10-18,Ixigo,Amz Pay Q3 23,Amz Pay Q3 23,KV 4- Mobile Recharge,Pune,1498,,2,,,,,,
2023-10-19,Ixigo,Amz Pay Q3 23,Amz Pay Q3 23,KV 1- Bill Payment,Mumbai,16058,,33,,,,,,
2023-10-19,Ixigo,Amz Pay Q3 23,Amz Pay Q3 23,KV 2- Pay in 1-click,Mumbai,16362,,40,,,,,,
2023-10-19,Ixigo,Amz Pay Q3 23,Amz Pay Q3 23,KV 3- Zero Convenience,Mumbai,16295,,40,,,,,,
2023-10-19,Ixigo,Amz Pay Q3 23,Amz Pay Q3 23,KV 4- Mobile Recharge,Mumbai,16143,,37,,,,,,
2023-10-19,Ixigo,Amz Pay Q3 23,Amz Pay Q3 23,KV 1- Bill Payment,Delhi NCR,17192,,33,,,,,,
2023-10-19,Ixigo,Amz Pay Q3 23,Amz Pay Q3 23,KV 2- Pay in 1-click,Delhi NCR,16742,,41,,,,,,
2023-10-19,Ixigo,Amz Pay Q3 23,Amz Pay Q3 23,KV 3- Zero Convenience,Delhi NCR,16981,,28,,,,,,
2023-10-19,Ixigo,Amz Pay Q3 23,Amz Pay Q3 23,KV 4- Mobile Recharge,Delhi NCR,16965,,27,,,,,,
2023-10-19,Ixigo,Amz Pay Q3 23,Amz Pay Q3 23,KV 1- Bill Payment,Bangalore,7312,,10,,,,,,
2023-10-19,Ixigo,Amz Pay Q3 23,Amz Pay Q3 23,KV 2- Pay in 1-click,Bangalore,7501,,13,,,,,,
2023-10-19,Ixigo,Amz Pay Q3 23,Amz Pay Q3 23,KV 3- Zero Convenience,Bangalore,7466,,13,,,,,,
2023-10-19,Ixigo,Amz Pay Q3 23,Amz Pay Q3 23,KV 4- Mobile Recharge,Bangalore,7366,,14,,,,,,
2023-10-19,Ixigo,Amz Pay Q3 23,Amz Pay Q3 23,KV 1- Bill Payment,Chennai,1865,,4,,,,,,
2023-10-19,Ixigo,Amz Pay Q3 23,Amz Pay Q3 23,KV 2- Pay in 1-click,Chennai,1761,,4,,,,,,
2023-10-19,Ixigo,Amz Pay Q3 23,Amz Pay Q3 23,KV 3- Zero Convenience,Chennai,1901,,2,,,,,,
2023-10-19,Ixigo,Amz Pay Q3 23,Amz Pay Q3 23,KV 4- Mobile Recharge,Chennai,1840,,6,,,,,,
2023-10-19,Ixigo,Amz Pay Q3 23,Amz Pay Q3 23,KV 1- Bill Payment,Pune,3077,,5,,,,,,
2023-10-19,Ixigo,Amz Pay Q3 23,Amz Pay Q3 23,KV 2- Pay in 1-click,Pune,3098,,3,,,,,,
2023-10-19,Ixigo,Amz Pay Q3 23,Amz Pay Q3 23,KV 3- Zero Convenience,Pune,3179,,11,,,,,,
2023-10-19,Ixigo,Amz Pay Q3 23,Amz Pay Q3 23,KV 4- Mobile Recharge,Pune,3100,,7,,,,,,
