Date,Publisher,Campaign Name,Accrual campaign name,Concept Name,GEO,Impressions,Engagements,Clicks,Views,25% Views,50% Views,75% Views,100% Views,Spends
2023-10-20,Mygate,Amz Pay Q3 23,Amz Pay Q3 23,Bill Payments,Bangalore,194106,,2483,,,,,,87347.7
2023-10-21,Mygate,Amz Pay Q3 23,Amz Pay Q3 23,Bill Payments,Bangalore,199447,,2676,,,,,,89751.15
2023-10-22,Mygate,Amz Pay Q3 23,Amz Pay Q3 23,Bill Payments,Bangalore,188684,,2654,,,,,,84907.8
2023-10-20,Mygate,Amz Pay Q3 23,Amz Pay Q3 23,Recharge ,Bangalore,194160,,2416,,,,,,87372.0
2023-10-21,Mygate,Amz Pay Q3 23,Amz Pay Q3 23,Recharge ,Bangalore,199394,,2661,,,,,,89727.3
2023-10-22,Mygate,Amz Pay Q3 23,Amz Pay Q3 23,Recharge ,Bangalore,189142,,2620,,,,,,85113.9
2023-10-20,Mygate,Amz Pay Q3 23,Amz Pay Q3 23,Bill Payments,Mumbai,87455,,1122,,,,,,39354.75
2023-10-21,Mygate,Amz Pay Q3 23,Amz Pay Q3 23,Bill Payments,Mumbai,94889,,1251,,,,,,42700.05
2023-10-22,Mygate,Amz Pay Q3 23,Amz Pay Q3 23,Bill Payments,Mumbai,87217,,1187,,,,,,39247.65
2023-10-20,Mygate,Amz Pay Q3 23,Amz Pay Q3 23,Recharge ,Mumbai,87702,,1172,,,,,,39465.9
2023-10-21,Mygate,Amz Pay Q3 23,Amz Pay Q3 23,Recharge ,Mumbai,94957,,1313,,,,,,42730.65
2023-10-22,Mygate,Amz Pay Q3 23,Amz Pay Q3 23,Recharge ,Mumbai,87583,,1204,,,,,,39412.35
2023-10-20,Mygate,Amz Pay Q3 23,Amz Pay Q3 23,Bill Payments,Pune,69099,,719,,,,,,31094.55
2023-10-21,Mygate,Amz Pay Q3 23,Amz Pay Q3 23,Bill Payments,Pune,72581,,803,,,,,,32661.45
2023-10-22,Mygate,Amz Pay Q3 23,Amz Pay Q3 23,Bill Payments,Pune,69467,,752,,,,,,31260.15
2023-10-20,Mygate,Amz Pay Q3 23,Amz Pay Q3 23,Recharge ,Pune,68944,,652,,,,,,31024.8
2023-10-21,Mygate,Amz Pay Q3 23,Amz Pay Q3 23,Recharge ,Pune,72290,,822,,,,,,32530.5
2023-10-22,Mygate,Amz Pay Q3 23,Amz Pay Q3 23,Recharge ,Pune,69899,,670,,,,,,31454.55
2023-10-20,Mygate,Amz Pay Q3 23,Amz Pay Q3 23,Bill Payments,Delhi NCR,171524,,2322,,,,,,77185.8
2023-10-21,Mygate,Amz Pay Q3 23,Amz Pay Q3 23,Bill Payments,Delhi NCR,183056,,2600,,,,,,82375.2
2023-10-22,Mygate,Amz Pay Q3 23,Amz Pay Q3 23,Bill Payments,Delhi NCR,172410,,2426,,,,,,77584.5
2023-10-20,Mygate,Amz Pay Q3 23,Amz Pay Q3 23,Recharge ,Delhi NCR,172383,,2385,,,,,,77572.35
2023-10-21,Mygate,Amz Pay Q3 23,Amz Pay Q3 23,Recharge ,Delhi NCR,182655,,2628,,,,,,82194.75
2023-10-22,Mygate,Amz Pay Q3 23,Amz Pay Q3 23,Recharge ,Delhi NCR,172807,,2426,,,,,,77763.15
2023-10-20,Mygate,Amz Pay Q3 23,Amz Pay Q3 23,Bill Payments,Chennai,23656,,386,,,,,,10645.2
2023-10-21,Mygate,Amz Pay Q3 23,Amz Pay Q3 23,Bill Payments,Chennai,24579,,379,,,,,,11060.55
2023-10-22,Mygate,Amz Pay Q3 23,Amz Pay Q3 23,Bill Payments,Chennai,23545,,372,,,,,,10595.25
2023-10-20,Mygate,Amz Pay Q3 23,Amz Pay Q3 23,Recharge ,Chennai,23583,,368,,,,,,10612.35
2023-10-21,Mygate,Amz Pay Q3 23,Amz Pay Q3 23,Recharge ,Chennai,24673,,342,,,,,,11102.85
2023-10-22,Mygate,Amz Pay Q3 23,Amz Pay Q3 23,Recharge ,Chennai,23653,,397,,,,,,10643.85
2023-10-20,Mygate,Amz Pay Q3 23,Amz Pay Q3 23,Bill Payments,Ernamkulam,473,,19,,,,,,212.85
2023-10-21,Mygate,Amz Pay Q3 23,Amz Pay Q3 23,Bill Payments,Ernamkulam,407,,14,,,,,,183.15
2023-10-22,Mygate,Amz Pay Q3 23,Amz Pay Q3 23,Bill Payments,Ernamkulam,434,,13,,,,,,195.3
2023-10-20,Mygate,Amz Pay Q3 23,Amz Pay Q3 23,Recharge ,Ernamkulam,456,,15,,,,,,205.2
2023-10-21,Mygate,Amz Pay Q3 23,Amz Pay Q3 23,Recharge ,Ernamkulam,409,,18,,,,,,184.05
2023-10-22,Mygate,Amz Pay Q3 23,Amz Pay Q3 23,Recharge ,Ernamkulam,497,,17,,,,,,223.65
2023-10-20,Mygate,Amz Pay Q3 23,Amz Pay Q3 23,Bill Payments,Tiruvanthapuram,1273,,20,,,,,,572.85
2023-10-21,Mygate,Amz Pay Q3 23,Amz Pay Q3 23,Bill Payments,Tiruvanthapuram,907,,13,,,,,,408.15
2023-10-22,Mygate,Amz Pay Q3 23,Amz Pay Q3 23,Bill Payments,Tiruvanthapuram,734,,10,,,,,,330.3
2023-10-20,Mygate,Amz Pay Q3 23,Amz Pay Q3 23,Recharge ,Tiruvanthapuram,1556,,25,,,,,,700.2
2023-10-21,Mygate,Amz Pay Q3 23,Amz Pay Q3 23,Recharge ,Tiruvanthapuram,1109,,16,,,,,,499.05
2023-10-22,Mygate,Amz Pay Q3 23,Amz Pay Q3 23,Recharge ,Tiruvanthapuram,897,,12,,,,,,403.65
