Date,Publisher,Campaign Name,Accrual campaign name,Concept Name,GEO,Impressions,Clicks
2023-10-14,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_CHENNAI_W1 to W4 - 14th Oct to 10th Nov,CHENNAI,16399,219
2023-10-14,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_CHENNAI_W1 to W4 - 14th Oct to 10th Nov,CHENNAI,15798,212
2023-10-14,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_CHENNAI_W1 to W4 - 14th Oct to 10th Nov,CHENNAI,16145,199
2023-10-14,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_CHENNAI_W1 to W4 - 14th Oct to 10th Nov,CHENNAI,16203,210
2023-10-15,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_CHENNAI_W1 to W4 - 14th Oct to 10th Nov,CHENNAI,58505,825
2023-10-15,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_CHENNAI_W1 to W4 - 14th Oct to 10th Nov,CHENNAI,51173,634
2023-10-15,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_CHENNAI_W1 to W4 - 14th Oct to 10th Nov,CHENNAI,11007,137
2023-10-15,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_CHENNAI_W1 to W4 - 14th Oct to 10th Nov,CHENNAI,10796,132
2023-10-16,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_CHENNAI_W1 to W4 - 14th Oct to 10th Nov,CHENNAI,80072,1061
2023-10-16,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_CHENNAI_W1 to W4 - 14th Oct to 10th Nov,CHENNAI,8511,119
2023-10-16,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_CHENNAI_W1 to W4 - 14th Oct to 10th Nov,CHENNAI,8498,109
2023-10-16,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_CHENNAI_W1 to W4 - 14th Oct to 10th Nov,CHENNAI,8649,97
2023-10-17,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_CHENNAI_W1 to W4 - 14th Oct to 10th Nov,CHENNAI,77508,1043
2023-10-17,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_CHENNAI_W1 to W4 - 14th Oct to 10th Nov,CHENNAI,8283,80
2023-10-17,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_CHENNAI_W1 to W4 - 14th Oct to 10th Nov,CHENNAI,8309,101
2023-10-17,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_CHENNAI_W1 to W4 - 14th Oct to 10th Nov,CHENNAI,8336,103
2023-10-18,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_CHENNAI_W1 to W4 - 14th Oct to 10th Nov,CHENNAI,75595,961
2023-10-18,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_CHENNAI_W1 to W4 - 14th Oct to 10th Nov,CHENNAI,8033,97
2023-10-18,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_CHENNAI_W1 to W4 - 14th Oct to 10th Nov,CHENNAI,8146,99
2023-10-18,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_CHENNAI_W1 to W4 - 14th Oct to 10th Nov,CHENNAI,8073,105
2023-10-14,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_PUNE_W1 to W4 - 14th Oct to 10th Nov,PUNE,9093,106
2023-10-14,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_PUNE_W1 to W4 - 14th Oct to 10th Nov,PUNE,8868,105
2023-10-14,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_PUNE_W1 to W4 - 14th Oct to 10th Nov,PUNE,8904,95
2023-10-14,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_PUNE_W1 to W4 - 14th Oct to 10th Nov,PUNE,9004,103
2023-10-15,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_PUNE_W1 to W4 - 14th Oct to 10th Nov,PUNE,75877,979
2023-10-15,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_PUNE_W1 to W4 - 14th Oct to 10th Nov,PUNE,42069,499
2023-10-15,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_PUNE_W1 to W4 - 14th Oct to 10th Nov,PUNE,11899,145
2023-10-15,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_PUNE_W1 to W4 - 14th Oct to 10th Nov,PUNE,11714,141
2023-10-16,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_PUNE_W1 to W4 - 14th Oct to 10th Nov,PUNE,72390,909
2023-10-16,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_PUNE_W1 to W4 - 14th Oct to 10th Nov,PUNE,7942,98
2023-10-16,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_PUNE_W1 to W4 - 14th Oct to 10th Nov,PUNE,8003,101
2023-10-16,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_PUNE_W1 to W4 - 14th Oct to 10th Nov,PUNE,7875,96
2023-10-17,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_PUNE_W1 to W4 - 14th Oct to 10th Nov,PUNE,69211,862
2023-10-17,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_PUNE_W1 to W4 - 14th Oct to 10th Nov,PUNE,7501,85
2023-10-17,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_PUNE_W1 to W4 - 14th Oct to 10th Nov,PUNE,7614,103
2023-10-17,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_PUNE_W1 to W4 - 14th Oct to 10th Nov,PUNE,7693,109
2023-10-18,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_PUNE_W1 to W4 - 14th Oct to 10th Nov,PUNE,67648,851
2023-10-18,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_PUNE_W1 to W4 - 14th Oct to 10th Nov,PUNE,7418,87
2023-10-18,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_PUNE_W1 to W4 - 14th Oct to 10th Nov,PUNE,7691,88
2023-10-18,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_PUNE_W1 to W4 - 14th Oct to 10th Nov,PUNE,7514,83
2023-10-14,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_JAIPUR_ W1 to W4 - 14th Oct to 10th Nov,JAIPUR,4945,50
2023-10-14,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_JAIPUR_ W1 to W4 - 14th Oct to 10th Nov,JAIPUR,4596,45
2023-10-14,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_JAIPUR_ W1 to W4 - 14th Oct to 10th Nov,JAIPUR,4864,47
2023-10-14,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_JAIPUR_ W1 to W4 - 14th Oct to 10th Nov,JAIPUR,4997,51
2023-10-15,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_JAIPUR_ W1 to W4 - 14th Oct to 10th Nov,JAIPUR,3930,39
2023-10-15,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_JAIPUR_ W1 to W4 - 14th Oct to 10th Nov,JAIPUR,3789,38
2023-10-15,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_JAIPUR_ W1 to W4 - 14th Oct to 10th Nov,JAIPUR,3965,48
2023-10-15,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_JAIPUR_ W1 to W4 - 14th Oct to 10th Nov,JAIPUR,35588,422
2023-10-16,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_JAIPUR_ W1 to W4 - 14th Oct to 10th Nov,JAIPUR,3040,34
2023-10-16,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_JAIPUR_ W1 to W4 - 14th Oct to 10th Nov,JAIPUR,2993,41
2023-10-16,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_JAIPUR_ W1 to W4 - 14th Oct to 10th Nov,JAIPUR,3023,29
2023-10-16,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_JAIPUR_ W1 to W4 - 14th Oct to 10th Nov,JAIPUR,26983,338
2023-10-17,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_JAIPUR_ W1 to W4 - 14th Oct to 10th Nov,JAIPUR,2928,30
2023-10-17,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_JAIPUR_ W1 to W4 - 14th Oct to 10th Nov,JAIPUR,2819,35
2023-10-17,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_JAIPUR_ W1 to W4 - 14th Oct to 10th Nov,JAIPUR,2859,32
2023-10-17,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_JAIPUR_ W1 to W4 - 14th Oct to 10th Nov,JAIPUR,26194,308
2023-10-18,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_JAIPUR_ W1 to W4 - 14th Oct to 10th Nov,JAIPUR,2860,25
2023-10-18,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_JAIPUR_ W1 to W4 - 14th Oct to 10th Nov,JAIPUR,2797,24
2023-10-18,Truecaller,Amz Pay Q3 23,Amz Pay Q3 23,Amazon Apay_JAIPUR_ W1 to W4 - 14th Oct to 10th Nov,JAIPUR,2808,42
