Date,Publisher,Campaign Name,Accrual campaign name,Concept Name,GEO,Impressions,Engagements,Clicks,Views,25% Views,50% Views,75% Views,100% Views,Spends
2023-10-14,Vi-DSP,Amz Pay Q3 23,Amz Pay Q3 23,Ahmedbad_KV1_300x250,Ahmedabad,1111,,4,,,,,,94.435
2023-10-14,Vi-DSP,Amz Pay Q3 23,Amz Pay Q3 23,Ahmedbad_KV1_320x480,Ahmedabad,562,,15,,,,,,47.77
2023-10-14,Vi-DSP,Amz Pay Q3 23,Amz Pay Q3 23,Ahmedbad_KV2_300x250,Ahmedabad,1085,,36,,,,,,92.225
2023-10-14,Vi-DSP,Amz Pay Q3 23,Amz Pay Q3 23,Ahmedbad_KV2_320x480,Ahmedabad,608,,30,,,,,,51.68
2023-10-14,Vi-DSP,Amz Pay Q3 23,Amz Pay Q3 23,Ahmedbad_KV2_336x280,Ahmedabad,1007,,38,,,,,,85.59499999999998
2023-10-14,Vi-DSP,Amz Pay Q3 23,Amz Pay Q3 23,Ahmedbad_KV3_300x250,Ahmedabad,1130,,3,,,,,,96.05
2023-10-14,Vi-DSP,Amz Pay Q3 23,Amz Pay Q3 23,Ahmedbad_KV3_320x480,Ahmedabad,620,,17,,,,,,52.7
2023-10-14,Vi-DSP,Amz Pay Q3 23,Amz Pay Q3 23,Ahmedbad_KV4_300x250,Ahmedabad,842,,34,,,,,,71.57
2023-10-14,Vi-DSP,Amz Pay Q3 23,Amz Pay Q3 23,Ahmedbad_KV4_320x480,Ahmedabad,615,,29,,,,,,52.275
2023-10-14,Vi-DSP,Amz Pay Q3 23,Amz Pay Q3 23,Ahmedbad_KV4_336x280,Ahmedabad,795,,44,,,,,,67.575
2023-10-14,Vi-DSP,Amz Pay Q3 23,Amz Pay Q3 23,Bangalore_KV2_300x250,Bangalore,3913,,53,,,,,,332.60499999999996
2023-10-14,Vi-DSP,Amz Pay Q3 23,Amz Pay Q3 23,Bangalore_KV2_320x480,Bangalore,438,,27,,,,,,37.23
2023-10-14,Vi-DSP,Amz Pay Q3 23,Amz Pay Q3 23,Bangalore_KV2_336x280,Bangalore,4966,,25,,,,,,422.11
2023-10-14,Vi-DSP,Amz Pay Q3 23,Amz Pay Q3 23,Bangalore_KV3_300x250,Bangalore,3806,,9,,,,,,323.51
2023-10-14,Vi-DSP,Amz Pay Q3 23,Amz Pay Q3 23,Bangalore_KV3_320x480,Bangalore,476,,3,,,,,,40.46
2023-10-14,Vi-DSP,Amz Pay Q3 23,Amz Pay Q3 23,Bangalore_KV4_300x250,Bangalore,3357,,52,,,,,,285.345
2023-10-14,Vi-DSP,Amz Pay Q3 23,Amz Pay Q3 23,Bangalore_KV4_320x480,Bangalore,424,,13,,,,,,36.04
2023-10-14,Vi-DSP,Amz Pay Q3 23,Amz Pay Q3 23,Bangalore_KV4_336x280,Bangalore,4623,,27,,,,,,392.95500000000004
2023-10-14,Vi-DSP,Amz Pay Q3 23,Amz Pay Q3 23,Bangalore_KV1_300x250,Bangalore,3844,,15,,,,,,326.74
2023-10-14,Vi-DSP,Amz Pay Q3 23,Amz Pay Q3 23,Bangalore_KV1_320x480,Bangalore,436,,1,,,,,,37.06
2023-10-14,Vi-DSP,Amz Pay Q3 23,Amz Pay Q3 23,Chennai_KV1_300x250,Chennai,1976,,3,,,,,,167.96
2023-10-14,Vi-DSP,Amz Pay Q3 23,Amz Pay Q3 23,Chennai_KV1_320x480,Chennai,791,,17,,,,,,67.235
2023-10-14,Vi-DSP,Amz Pay Q3 23,Amz Pay Q3 23,Chennai_KV2_300x250,Chennai,1064,,30,,,,,,90.44
2023-10-14,Vi-DSP,Amz Pay Q3 23,Amz Pay Q3 23,Chennai_KV2_320x480,Chennai,394,,15,,,,,,33.49
2023-10-14,Vi-DSP,Amz Pay Q3 23,Amz Pay Q3 23,Chennai_KV2_336x280,Chennai,1561,,36,,,,,,132.685
2023-10-14,Vi-DSP,Amz Pay Q3 23,Amz Pay Q3 23,Chennai_KV3_300x250,Chennai,1059,,2,,,,,,90.015
2023-10-14,Vi-DSP,Amz Pay Q3 23,Amz Pay Q3 23,Chennai_KV3_320x480,Chennai,383,,2,,,,,,32.555
2023-10-14,Vi-DSP,Amz Pay Q3 23,Amz Pay Q3 23,Chennai_KV4_300x250,Chennai,909,,26,,,,,,77.265
2023-10-14,Vi-DSP,Amz Pay Q3 23,Amz Pay Q3 23,Chennai_KV4_320x480,Chennai,347,,23,,,,,,29.494999999999997
2023-10-14,Vi-DSP,Amz Pay Q3 23,Amz Pay Q3 23,Chennai_KV4_336x280,Chennai,1468,,27,,,,,,124.78
2023-10-14,Vi-DSP,Amz Pay Q3 23,Amz Pay Q3 23,Coimbatore_KV1_300x250,Coimbatore,1019,,6,,,,,,86.615
2023-10-14,Vi-DSP,Amz Pay Q3 23,Amz Pay Q3 23,Coimbatore_KV1_320x480,Coimbatore,1243,,17,,,,,,105.65500000000002
2023-10-14,Vi-DSP,Amz Pay Q3 23,Amz Pay Q3 23,Coimbatore_KV2_300x250,Coimbatore,522,,37,,,,,,44.370000000000005
2023-10-14,Vi-DSP,Amz Pay Q3 23,Amz Pay Q3 23,Coimbatore_KV2_320x480,Coimbatore,601,,53,,,,,,51.085
2023-10-14,Vi-DSP,Amz Pay Q3 23,Amz Pay Q3 23,Coimbatore_KV2_336x280,Coimbatore,1708,,64,,,,,,145.18
2023-10-14,Vi-DSP,Amz Pay Q3 23,Amz Pay Q3 23,Coimbatore_KV3_300x250,Coimbatore,533,,0,,,,,,45.305
2023-10-14,Vi-DSP,Amz Pay Q3 23,Amz Pay Q3 23,Coimbatore_KV3_320x480,Coimbatore,607,,0,,,,,,51.595
