Date,Publisher,Campaign Name,Accrual Campaign Name,Concept Name,Geo,Impressions,Engagements,Clicks,Views,25% Views,50% Views,75% Views,100% Views,Spends,Device,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Reach
2023-10-31,Hipi,Wave-3,Jupiter 23,Softlines - NTA,"18-45 MF, Non shoppers",183371,,7524,,,,,,18337.1,,,,,,,,
2023-10-31,Hipi,Wave-3,Jupiter 23,OHL - NTA,"18-45 MF, Non shoppers",107768,,3628,,,,,,10776.8,,,,,,,,
2023-10-31,Hipi,Wave-3,Jupiter 23,Consumables -NTA,"18-45 MF, Non shoppers",24637,,338,,,,,,2463.7,,,,,,,,
2023-10-31,Hipi,Wave-3,Jupiter 23,Consumables -NTA,"18-45 MF, Online shoppers Excl. Amazon App Users",39964,,489,,,,,,3996.4,,,,,,,,
2023-10-31,Hipi,Wave-3,Jupiter 23,CE/PC - NTA,"18-45 MF, Non shoppers",663407,,22505,,,,,,66340.7,,,,,,,,
2023-10-31,Hipi,Wave-3,Jupiter 23,CE/PC - NTA,"18-45 MF, Online shoppers Excl. Amazon App Users",648652,,23948,,,,,,64865.2,,,,,,,,
2023-10-31,Hipi,Wave-3,Jupiter 23,Wireless - NTA,"18-45 MF, Online shoppers Excl. Amazon App Users",141771,,2306,,,,,,14177.1,,,,,,,,
2023-10-31,Hipi,Wave-3,Jupiter 23,Softlines - NTA,"18-45 MF, Online shoppers Excl. Amazon App Users",358394,,13120,,,,,,35839.4,,,,,,,,
2023-10-31,Hipi,Wave-3,Jupiter 23,Wireless - OPS,"18-45 MF, Online shoppers Excl. Amazon App Users",451858,,15936,,,,,,45185.8,,,,,,,,
2023-10-31,Hipi,Wave-3,Jupiter 23,Softlines - OPS,"18-45 MF, Online shoppers Excl. Amazon App Users",50029,,730,,,,,,5002.9,,,,,,,,
2023-10-31,Hipi,Wave-3,Jupiter 23,OHL - OPS,"18-45 MF, Online shoppers Excl. Amazon App Users",241247,,9070,,,,,,24124.7,,,,,,,,
2023-10-31,Hipi,Wave-3,Jupiter 23,TV - OPS,"18-45 MF, Online shoppers Excl. Amazon App Users",22887,,342,,,,,,2288.7,,,,,,,,
2023-11-01,Hipi,Wave-3,Jupiter 23,Softlines - NTA,"18-45 MF, Non shoppers",501111,,17247,,,,,,50111.1,,,,,,,,
2023-11-01,Hipi,Wave-3,Jupiter 23,OHL - NTA,"18-45 MF, Non shoppers",46350,,2010,,,,,,4635.0,,,,,,,,
2023-11-01,Hipi,Wave-3,Jupiter 23,Consumables -NTA,"18-45 MF, Non shoppers",51714,,652,,,,,,5171.4,,,,,,,,
2023-11-01,Hipi,Wave-3,Jupiter 23,Consumables -NTA,"18-45 MF, Online shoppers Excl. Amazon App Users",71876,,1564,,,,,,7187.6,,,,,,,,
2023-11-01,Hipi,Wave-3,Jupiter 23,CE/PC - NTA,"18-45 MF, Non shoppers",263606,,9487,,,,,,26360.6,,,,,,,,
2023-11-01,Hipi,Wave-3,Jupiter 23,Wireless - NTA,"18-45 MF, Non shoppers",177674,,7524,,,,,,17767.4,,,,,,,,
2023-11-01,Hipi,Wave-3,Jupiter 23,Wireless - NTA,"18-45 MF, Online shoppers Excl. Amazon App Users",78782,,2443,,,,,,7878.2,,,,,,,,
2023-11-01,Hipi,Wave-3,Jupiter 23,Softlines - NTA,"18-45 MF, Online shoppers Excl. Amazon App Users",796503,,26727,,,,,,79650.3,,,,,,,,
2023-11-01,Hipi,Wave-3,Jupiter 23,Wireless - OPS,"18-45 MF, Online shoppers Excl. Amazon App Users",314849,,10288,,,,,,31484.9,,,,,,,,
2023-11-01,Hipi,Wave-3,Jupiter 23,Softlines - OPS,"18-45 MF, Online shoppers Excl. Amazon App Users",135167,,1858,,,,,,13516.7,,,,,,,,
2023-11-01,Hipi,Wave-3,Jupiter 23,OHL - OPS,"18-45 MF, Online shoppers Excl. Amazon App Users",285775,,8969,,,,,,28577.5,,,,,,,,
2023-11-01,Hipi,Wave-3,Jupiter 23,TV - OPS,"18-45 MF, Online shoppers Excl. Amazon App Users",50648,,720,,,,,,5064.8,,,,,,,,
2023-11-01,Hipi,Wave-3,Jupiter 23,CE/PC - OPS,"18-45 MF, Online shoppers Excl. Amazon App Users",160448,,6034,,,,,,16044.8,,,,,,,,
