Date,Publisher,Campaign Name,Accrual Campaign Name,Concept Name,Geo,Impressions,Engagements,Clicks,Views,25% Views,50% Views,75% Views,100% Views,Spends,Device,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Reach
2023-10-31,Mcanvas,Wave-3,Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 as-ops-ceps,"18-45 MF, Amz shoppers,India",96017,,5924,,,,,,26658.0,,,,,,,,
2023-10-31,Mcanvas,Wave-3,Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 as-ops-latv,"18-45 MF, Amz shoppers,India",45242,,2760,,,,,,12420.0,,,,,,,,
2023-10-31,Mcanvas,Wave-3,Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 as-ops-ohl,"18-45 MF, Amz shoppers,India",90085,,5721,,,,,,25744.5,,,,,,,,
2023-10-31,Mcanvas,Wave-3,Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 as-ops-sftln,"18-45 MF, Amz shoppers,India",69623,,4492,,,,,,20214.0,,,,,,,,
2023-10-31,Mcanvas,Wave-3,Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 as-ops-wlops,"18-45 MF, Amz shoppers,India",200612,,12586,,,,,,56637.0,,,,,,,,
2023-10-31,Mcanvas,Wave-3,Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 ns-nta-cepc,"18-45 MF, Non-shoppers,India",74531,,3886,,,,,,17487.0,,,,,,,,
2023-10-31,Mcanvas,Wave-3,Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 ns-nta-cons,"18-45 MF, Non-shoppers,India",29515,,1910,,,,,,8595.0,,,,,,,,
2023-10-31,Mcanvas,Wave-3,Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 ns-nta-ohl,"18-45 MF, Non-shoppers,India",64025,,4167,,,,,,18751.5,,,,,,,,
2023-10-31,Mcanvas,Wave-3,Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 ns-nta-sftln,"18-45 MF, Non-shoppers,India",120564,,8327,,,,,,37471.5,,,,,,,,
2023-10-31,Mcanvas,Wave-3,Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 ns-nta-wlnta,"18-45 MF, Non-shoppers,India",83232,,6163,,,,,,27733.5,,,,,,,,
2023-10-31,Mcanvas,Wave-3,Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 ol-nta-cepc,"18-45 MF, Online shoppers, Excl. Amz shoppers,India",62535,,3959,,,,,,17815.5,,,,,,,,
2023-10-31,Mcanvas,Wave-3,Jupiter 23,mCanvas Amazon Jupiter Wave 3 Oct'23 ol-nta-cons,"18-45 MF, Online shoppers, Excl. Amz shoppers,India",18667,,933,,,,,,4198.5,,,,,,,,
