Date,Publisher,Campaign Name,Accrual Campaign Name,Concept Name,Geo,Impressions,Engagements,Clicks,Views,25% Views,50% Views,75% Views,100% Views,Spends,Device,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Reach
2023-10-31,Mediasmart,Wave-3,Jupiter 23,amazon_ntaonlineshoppers_sl_320x480,Pan India,20059,,318,,,,,,2106.195,,,,,,,,
2023-10-31,Mediasmart,Wave-3,Jupiter 23,amazon_ntaonlineshoppers_sl_300x250,Pan India,19407,,170,,,,,,2037.735,,,,,,,,
2023-10-31,Mediasmart,Wave-3,Jupiter 23,amazon_opsamzshopping_ohl_320x480,Pan India,14392,,243,,,,,,1511.16,,,,,,,,
2023-10-31,Mediasmart,Wave-3,Jupiter 23,amazon_opsamzshopping_ohl_300x600,Pan India,13541,,575,,,,,,1421.805,,,,,,,,
2023-10-31,Mediasmart,Wave-3,Jupiter 23,amazon_opsamzshopping_sl_320x480,Pan India,13187,,196,,,,,,1384.635,,,,,,,,
2023-10-31,Mediasmart,Wave-3,Jupiter 23,amazon_opsamzshopping_sl_300x600,Pan India,12588,,487,,,,,,1321.74,,,,,,,,
2023-10-31,Mediasmart,Wave-3,Jupiter 23,amazon_opsamzshopping_wl_320x480,Pan India,11918,,209,,,,,,1251.39,,,,,,,,
2023-10-31,Mediasmart,Wave-3,Jupiter 23,amazon_opsamzshopping_tv_320x480,Pan India,11661,,180,,,,,,1224.405,,,,,,,,
2023-10-31,Mediasmart,Wave-3,Jupiter 23,amazon_opsamzshopping_ohl_300x250,Pan India,11626,,107,,,,,,1220.73,,,,,,,,
2023-10-31,Mediasmart,Wave-3,Jupiter 23,amazon_opsamzshopping_cepc_320x480,Pan India,11491,,210,,,,,,1206.555,,,,,,,,
2023-10-31,Mediasmart,Wave-3,Jupiter 23,amazon_opsamzshopping_wl_300x600,Pan India,11416,,416,,,,,,1198.68,,,,,,,,
2023-10-31,Mediasmart,Wave-3,Jupiter 23,amazon_ntaonlineshoppers_sl_300x600,Pan India,11385,,445,,,,,,1195.425,,,,,,,,
2023-10-31,Mediasmart,Wave-3,Jupiter 23,amazon_opsamzshopping_ohl_480x320,Pan India,11146,,110,,,,,,1170.33,,,,,,,,
