Publisher,Date,Concept Name,Geo,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Impressions,Clicks,Views,25% Views,50% Views,75% Views,100% Views,Reach,Spends,Accrual Campaign Name,Campaign Name,Device,Engagements
Ventes,2023-10-31,NTA -CEPC,Pan India,Pan India,Mobile,,Display,"18-45 MF,Non- Shopper",CPC,248242,4131,N.A,N.A,N.A,N.A,N.A,126405,18590,Jupiter 23,Wave-3,,
Ventes,2023-10-31,NTA - OHL,Pan India,Pan India,Mobile,,Display,"18-45 MF,Non- Shopper",CPC,215360,3468,N.A,N.A,N.A,N.A,N.A,106571,15606,Jupiter 23,Wave-3,,
Ventes,2023-10-31,NTA - WL,Pan India,Pan India,Mobile,,Display,"18-45 MF,Non- Shopper",CPC,249283,4140,N.A,N.A,N.A,N.A,N.A,127193,18630,Jupiter 23,Wave-3,,
Ventes,2023-10-31,OPS - CEPC,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,182302,3078,N.A,N.A,N.A,N.A,N.A,97642,13851,Jupiter 23,Wave-3,,
Ventes,2023-10-31,OPS - SL,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,180637,3142,N.A,N.A,N.A,N.A,N.A,99730,14139,Jupiter 23,Wave-3,,
Ventes,2023-10-31,OPS - WL,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,174796,3765,N.A,N.A,N.A,N.A,N.A,91931,16943,Jupiter 23,Wave-3,,
Ventes,2023-10-31,NTA -CEPC,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,174796,3765,N.A,N.A,N.A,N.A,N.A,86615,16943,Jupiter 23,Wave-3,,
Ventes,2023-10-31,NTA - OHL,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,247144,4269,N.A,N.A,N.A,N.A,N.A,120907,19211,Jupiter 23,Wave-3,,
Ventes,2023-10-31,NTA - WL,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,258319,6406,N.A,N.A,N.A,N.A,N.A,121864,28827,Jupiter 23,Wave-3,,
Ventes,2023-10-31,OPS - CEPC,Pan India,Pan India,Mobile,,Display,"18-45 MF, Amz shoppers",CPC,342579,6843,N.A,N.A,N.A,N.A,N.A,168680,30794,Jupiter 23,Wave-3,,
Ventes,2023-10-31,OPS - SL,Pan India,Pan India,Mobile,,Display,"18-45 MF, Amz shoppers",CPC,342579,6843,N.A,N.A,N.A,N.A,N.A,170133,30794,Jupiter 23,Wave-3,,
Ventes,2023-10-31,OPS - WL,Pan India,Pan India,Mobile,,Display,"18-45 MF, Amz shoppers",CPC,315685,6873,N.A,N.A,N.A,N.A,N.A,161381,30929,Jupiter 23,Wave-3,,
Ventes,2023-11-01,NTA -CEPC,Pan India,Pan India,Mobile,,Display,"18-45 MF,Non- Shopper",CPC,277507,5119,N.A,N.A,N.A,N.A,N.A,136405,23036,Jupiter 23,Wave-3,,
Ventes,2023-11-01,NTA - OHL,Pan India,Pan India,Mobile,,Display,"18-45 MF,Non- Shopper",CPC,237972,3688,N.A,N.A,N.A,N.A,N.A,120571,16596,Jupiter 23,Wave-3,,
Ventes,2023-11-01,NTA - WL,Pan India,Pan India,Mobile,,Display,"18-45 MF,Non- Shopper",CPC,276954,5140,N.A,N.A,N.A,N.A,N.A,137192,23130,Jupiter 23,Wave-3,,
Ventes,2023-11-01,OPS - CEPC,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,207669,3332,N.A,N.A,N.A,N.A,N.A,107640,14994,Jupiter 23,Wave-3,,
Ventes,2023-11-01,OPS - SL,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,205706,3358,N.A,N.A,N.A,N.A,N.A,109730,15111,Jupiter 23,Wave-3,,
Ventes,2023-11-01,OPS - WL,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,196855,4126,N.A,N.A,N.A,N.A,N.A,91931,18567,Jupiter 23,Wave-3,,
Ventes,2023-11-01,NTA -CEPC,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,235010,3943,N.A,N.A,N.A,N.A,N.A,116615,17744,Jupiter 23,Wave-3,,
Ventes,2023-11-01,NTA - OHL,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,216862,2740,N.A,N.A,N.A,N.A,N.A,104907,12330,Jupiter 23,Wave-3,,
Ventes,2023-11-01,NTA - WL,Pan India,Pan India,Mobile,,Display,"18-45 MF,Online- Shopper",CPC,225408,4112,N.A,N.A,N.A,N.A,N.A,114860,18504,Jupiter 23,Wave-3,,
Ventes,2023-11-01,OPS - CEPC,Pan India,Pan India,Mobile,,Display,"18-45 MF, Amz shoppers",CPC,376371,7975,N.A,N.A,N.A,N.A,N.A,195680,35888,Jupiter 23,Wave-3,,
Ventes,2023-11-01,OPS - SL,Pan India,Pan India,Mobile,,Display,"18-45 MF, Amz shoppers",CPC,388921,8069,N.A,N.A,N.A,N.A,N.A,196133,36311,Jupiter 23,Wave-3,,
Ventes,2023-11-01,OPS - WL,Pan India,Pan India,Mobile,,Display,"18-45 MF, Amz shoppers",CPC,347440,8209,N.A,N.A,N.A,N.A,N.A,171389,36941,Jupiter 23,Wave-3,,
