Date,Publisher,Identifiers,Accrual Campaign Name,Device,Concept Name,Geo,Metro/Non Metro,Platform,Section,Ad Unit,Targeting,Deal Type,Impressions,Clicks,Engagements,Reach,Views,25% Views,50% Views,75% Views,100% Views,Spends
2023-12-26,Airtel,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,,,,,,,,,406227.0,4199.0,nan,nan,nan,nan,nan,nan,nan,60934.0
2023-12-27,Airtel,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,,,,,,,,,398142.0,3977.0,nan,nan,nan,nan,nan,nan,nan,59721.0
2023-12-28,Airtel,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,,,,,,,,,586898.0,5841.0,nan,nan,nan,nan,nan,nan,nan,88035.0
2023-12-29,Airtel,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,,,,,,,,,567093.0,5593.0,nan,nan,nan,nan,nan,nan,nan,85064.0
2023-12-30,Airtel,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,,,,,,,,,498324.0,4993.0,nan,nan,nan,nan,nan,nan,nan,74749.0
2023-12-31,Airtel,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,,,,,,,,,156994.0,1815.0,nan,nan,nan,nan,nan,nan,nan,23549.0
2023-12-26,Inshorts,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,,,,,,,,,192445.0,1709.0,nan,nan,nan,nan,nan,nan,nan,nan
2023-12-27,Inshorts,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,,,,,,,,,96006.0,1133.0,nan,nan,nan,nan,nan,nan,nan,nan
2023-12-28,Inshorts,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,,,,,,,,,95611.0,1101.0,nan,nan,nan,nan,nan,nan,nan,nan
2023-12-29,Inshorts,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,,,,,,,,,95304.0,1132.0,nan,nan,nan,nan,nan,nan,nan,nan
2023-12-30,Inshorts,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,,,,,,,,,95341.0,1155.0,nan,nan,nan,nan,nan,nan,nan,nan
2023-12-31,Inshorts,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,,,,,,,,,99895.0,1160.0,nan,nan,nan,nan,nan,nan,nan,nan
2023-12-26,Quora,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Mobile recharge,All geos,,,,,,,1435152.0,9318.0,nan,nan,nan,nan,nan,nan,nan,125000.0
2023-12-27,Quora,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Mobile recharge,All geos,,,,,,,1271267.0,7965.0,nan,nan,nan,nan,nan,nan,nan,110000.0
2023-12-28,Quora,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Mobile recharge,All geos,,,,,,,1303312.0,8030.0,nan,nan,nan,nan,nan,nan,nan,115000.0
2023-12-29,Quora,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Mobile recharge,All geos,,,,,,,1302045.0,8184.0,nan,nan,nan,nan,nan,nan,nan,115000.0
2023-12-30,Quora,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Mobile recharge,All geos,,,,,,,1394941.0,9236.0,nan,nan,nan,nan,nan,nan,nan,115000.0
2023-12-31,Quora,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,Mobile recharge,All geos,,,,,,,401170.0,2639.0,nan,nan,nan,nan,nan,nan,nan,38936.52
2023-12-26,Sharechat Non-sizmek,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,,All Geos,,,,,,,644706.0,4320.0,nan,nan,nan,nan,nan,nan,nan,17280.0
2023-12-27,Sharechat Non-sizmek,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,,All Geos,,,,,,,3279703.0,16074.0,nan,nan,nan,nan,nan,nan,nan,64296.0
2023-12-28,Sharechat Non-sizmek,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,,All Geos,,,,,,,2645931.0,15303.0,nan,nan,nan,nan,nan,nan,nan,61212.0
2023-12-29,Sharechat Non-sizmek,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,,All Geos,,,,,,,1273146.0,6450.0,nan,nan,nan,nan,nan,nan,nan,25800.0
2023-12-30,Sharechat Non-sizmek,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,,All Geos,,,,,,,1210046.0,6462.0,nan,nan,nan,nan,nan,nan,nan,25848.0
2023-12-31,Sharechat Non-sizmek,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,,All Geos,,,,,,,836755.0,4479.0,nan,nan,nan,nan,nan,nan,nan,17916.0
2023-12-26,Sharechat Sizmek,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,,All Geos,,,,,,,608292.0,4459.0,nan,nan,nan,nan,nan,nan,nan,17836.0
2023-12-27,Sharechat Sizmek,Amz Pay Mobile Recharge Q4 23,Amz Pay Mobile Recharge Q4 23,,,All Geos,,,,,,,2150317.0,13132.0,nan,nan,nan,nan,nan,nan,nan,52528.0
