Date,Campaign Name,Campaign Id,Ad Name,Ad Id,Impressions,Clicks,CTR (%),Type
08-12-2023,OF-24779_Amazon_HomeATF/BTF/PT_CPM60,C2312071739450698931594,OF-24779_Amazon_HomeATF_Delhi+NCR_MenApparel,AD2312071837255813014427,244995,174,0.07,CPM
09-12-2023,OF-24779_Amazon_HomeATF/BTF/PT_CPM60,C2312071739450698931594,OF-24779_Amazon_HomeATF_Delhi+NCR_MenApparel,AD2312071837255813014427,258670,799,0.31,CPM
10-12-2023,OF-24779_Amazon_HomeATF/BTF/PT_CPM60,C2312071739450698931594,OF-24779_Amazon_HomeATF_Delhi+NCR_MenApparel,AD2312071837255813014427,243169,678,0.28,CPM
11-12-2023,OF-24779_Amazon_HomeATF/BTF/PT_CPM60,C2312071739450698931594,OF-24779_Amazon_HomeATF_Delhi+NCR_MenApparel,AD2312071837255813014427,293236,774,0.26,CPM
12-12-2023,OF-24779_Amazon_HomeATF/BTF/PT_CPM60,C2312071739450698931594,OF-24779_Amazon_HomeATF_Delhi+NCR_MenApparel,AD2312071837255813014427,303497,764,0.25,CPM
13-12-2023,OF-24779_Amazon_HomeATF/BTF/PT_CPM60,C2312071739450698931594,OF-24779_Amazon_HomeATF_Delhi+NCR_MenApparel,AD2312071837255813014427,300395,705,0.23,CPM
08-12-2023,OF-24779_Amazon_HomeATF/BTF/PT_CPM60,C2312071739450698931594,OF-24779_Amazon_HomeBTF_Delhi+NCR_WomenApparel,AD2312071843567309165152,35921,41,0.11,CPM
09-12-2023,OF-24779_Amazon_HomeATF/BTF/PT_CPM60,C2312071739450698931594,OF-24779_Amazon_HomeBTF_Delhi+NCR_WomenApparel,AD2312071843567309165152,43522,34,0.08,CPM
10-12-2023,OF-24779_Amazon_HomeATF/BTF/PT_CPM60,C2312071739450698931594,OF-24779_Amazon_HomeBTF_Delhi+NCR_WomenApparel,AD2312071843567309165152,50265,46,0.09,CPM
11-12-2023,OF-24779_Amazon_HomeATF/BTF/PT_CPM60,C2312071739450698931594,OF-24779_Amazon_HomeBTF_Delhi+NCR_WomenApparel,AD2312071843567309165152,61420,58,0.09,CPM
12-12-2023,OF-24779_Amazon_HomeATF/BTF/PT_CPM60,C2312071739450698931594,OF-24779_Amazon_HomeBTF_Delhi+NCR_WomenApparel,AD2312071843567309165152,141840,154,0.11,CPM
13-12-2023,OF-24779_Amazon_HomeATF/BTF/PT_CPM60,C2312071739450698931594,OF-24779_Amazon_HomeBTF_Delhi+NCR_WomenApparel,AD2312071843567309165152,39170,40,0.1,CPM
08-12-2023,OF-24779_Amazon_HomeATF/BTF/PT_CPM60,C2312071739450698931594,OF-24779_Amazon_PT_Delhi+NCR_Footwear,AD2312071845387879778194,215789,881,0.41,CPM
09-12-2023,OF-24779_Amazon_HomeATF/BTF/PT_CPM60,C2312071739450698931594,OF-24779_Amazon_PT_Delhi+NCR_Footwear,AD2312071845387879778194,215891,913,0.42,CPM
10-12-2023,OF-24779_Amazon_HomeATF/BTF/PT_CPM60,C2312071739450698931594,OF-24779_Amazon_PT_Delhi+NCR_Footwear,AD2312071845387879778194,216326,721,0.33,CPM
11-12-2023,OF-24779_Amazon_HomeATF/BTF/PT_CPM60,C2312071739450698931594,OF-24779_Amazon_PT_Delhi+NCR_Footwear,AD2312071845387879778194,270143,940,0.35,CPM
12-12-2023,OF-24779_Amazon_HomeATF/BTF/PT_CPM60,C2312071739450698931594,OF-24779_Amazon_PT_Delhi+NCR_Footwear,AD2312071845387879778194,269504,851,0.32,CPM
13-12-2023,OF-24779_Amazon_HomeATF/BTF/PT_CPM60,C2312071739450698931594,OF-24779_Amazon_PT_Delhi+NCR_Footwear,AD2312071845387879778194,269386,829,0.31,CPM
08-12-2023,OF-24779_Amazon_HomeATF/BTF/PT_CPM60,C2312071739450698931594,OF-24779_Amazon_HomeATF_Mumbai+Thane_WomenApparel,AD2312071850164747371927,248249,174,0.07,CPM
09-12-2023,OF-24779_Amazon_HomeATF/BTF/PT_CPM60,C2312071739450698931594,OF-24779_Amazon_HomeATF_Mumbai+Thane_WomenApparel,AD2312071850164747371927,282506,803,0.28,CPM
10-12-2023,OF-24779_Amazon_HomeATF/BTF/PT_CPM60,C2312071739450698931594,OF-24779_Amazon_HomeATF_Mumbai+Thane_WomenApparel,AD2312071850164747371927,257051,707,0.28,CPM
11-12-2023,OF-24779_Amazon_HomeATF/BTF/PT_CPM60,C2312071739450698931594,OF-24779_Amazon_HomeATF_Mumbai+Thane_WomenApparel,AD2312071850164747371927,384434,973,0.25,CPM
12-12-2023,OF-24779_Amazon_HomeATF/BTF/PT_CPM60,C2312071739450698931594,OF-24779_Amazon_HomeATF_Mumbai+Thane_WomenApparel,AD2312071850164747371927,386335,969,0.25,CPM
13-12-2023,OF-24779_Amazon_HomeATF/BTF/PT_CPM60,C2312071739450698931594,OF-24779_Amazon_HomeATF_Mumbai+Thane_WomenApparel,AD2312071850164747371927,356714,857,0.24,CPM
08-12-2023,OF-24779_Amazon_HomeATF/BTF/PT_CPM60,C2312071739450698931594,OF-24779_Amazon_HomeBTF_Mumbai+Thane_Footwear,AD2312071851475442541102,4836,6,0.12,CPM
09-12-2023,OF-24779_Amazon_HomeATF/BTF/PT_CPM60,C2312071739450698931594,OF-24779_Amazon_HomeBTF_Mumbai+Thane_Footwear,AD2312071851475442541102,7970,13,0.16,CPM
10-12-2023,OF-24779_Amazon_HomeATF/BTF/PT_CPM60,C2312071739450698931594,OF-24779_Amazon_HomeBTF_Mumbai+Thane_Footwear,AD2312071851475442541102,13084,14,0.11,CPM
11-12-2023,OF-24779_Amazon_HomeATF/BTF/PT_CPM60,C2312071739450698931594,OF-24779_Amazon_HomeBTF_Mumbai+Thane_Footwear,AD2312071851475442541102,13408,12,0.09,CPM
12-12-2023,OF-24779_Amazon_HomeATF/BTF/PT_CPM60,C2312071739450698931594,OF-24779_Amazon_HomeBTF_Mumbai+Thane_Footwear,AD2312071851475442541102,31780,33,0.1,CPM
13-12-2023,OF-24779_Amazon_HomeATF/BTF/PT_CPM60,C2312071739450698931594,OF-24779_Amazon_HomeBTF_Mumbai+Thane_Footwear,AD2312071851475442541102,7667,8,0.1,CPM
08-12-2023,OF-24779_Amazon_HomeATF/BTF/PT_CPM60,C2312071739450698931594,OF-24779_Amazon_PT_Mumbai+Thane_Travel,AD2312071853256772541231,230386,943,0.41,CPM
09-12-2023,OF-24779_Amazon_HomeATF/BTF/PT_CPM60,C2312071739450698931594,OF-24779_Amazon_PT_Mumbai+Thane_Travel,AD2312071853256772541231,224993,1011,0.45,CPM
10-12-2023,OF-24779_Amazon_HomeATF/BTF/PT_CPM60,C2312071739450698931594,OF-24779_Amazon_PT_Mumbai+Thane_Travel,AD2312071853256772541231,237228,821,0.35,CPM
11-12-2023,OF-24779_Amazon_HomeATF/BTF/PT_CPM60,C2312071739450698931594,OF-24779_Amazon_PT_Mumbai+Thane_Travel,AD2312071853256772541231,359209,1050,0.29,CPM
12-12-2023,OF-24779_Amazon_HomeATF/BTF/PT_CPM60,C2312071739450698931594,OF-24779_Amazon_PT_Mumbai+Thane_Travel,AD2312071853256772541231,359150,987,0.27,CPM
13-12-2023,OF-24779_Amazon_HomeATF/BTF/PT_CPM60,C2312071739450698931594,OF-24779_Amazon_PT_Mumbai+Thane_Travel,AD2312071853256772541231,184401,555,0.3,CPM
08-12-2023,OF-24779_Amazon_HomeATF/BTF/PT_CPM60,C2312071739450698931594,OF-24779_Amazon_HomeATF_Bangalore_Footwear,AD2312071855449542039839,360203,265,0.07,CPM
09-12-2023,OF-24779_Amazon_HomeATF/BTF/PT_CPM60,C2312071739450698931594,OF-24779_Amazon_HomeATF_Bangalore_Footwear,AD2312071855449542039839,371672,1119,0.3,CPM
10-12-2023,OF-24779_Amazon_HomeATF/BTF/PT_CPM60,C2312071739450698931594,OF-24779_Amazon_HomeATF_Bangalore_Footwear,AD2312071855449542039839,354135,981,0.28,CPM
11-12-2023,OF-24779_Amazon_HomeATF/BTF/PT_CPM60,C2312071739450698931594,OF-24779_Amazon_HomeATF_Bangalore_Footwear,AD2312071855449542039839,440980,1200,0.27,CPM
12-12-2023,OF-24779_Amazon_HomeATF/BTF/PT_CPM60,C2312071739450698931594,OF-24779_Amazon_HomeATF_Bangalore_Footwear,AD2312071855449542039839,459772,1162,0.25,CPM
