Publisher,Campaign Name,Date,Line Item Name,Concept Name,Geo Targeting,Impressions,Clicks,Spends
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,20-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_WB_2023-10-20_2023-10-30,WestBengal - Set 2 - Recharge - 990x505,west bengal,"9,996",55,899.64
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,21-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_WB_2023-10-20_2023-10-30,WestBengal - Set 2 - Recharge - 990x505,west bengal,"7,088",58,637.92
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,22-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_WB_2023-10-20_2023-10-30,WestBengal - Set 2 - Recharge - 990x505,west bengal,"9,255",102,832.95
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,23-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_WB_2023-10-20_2023-10-30,WestBengal - Set 2 - Recharge - 990x505,west bengal,"38,669",137,3480.21
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,24-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_WB_2023-10-20_2023-10-30,WestBengal - Set 2 - Recharge - 990x505,west bengal,"8,554",36,769.86
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,20-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_WB_2023-10-20_2023-10-30,WestBengal - Set 2 - Recharge - 600x600,west bengal,"11,752",88,1057.68
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,21-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_WB_2023-10-20_2023-10-30,WestBengal - Set 2 - Recharge - 600x600,west bengal,"11,692",89,1052.28
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,22-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_WB_2023-10-20_2023-10-30,WestBengal - Set 2 - Recharge - 600x600,west bengal,"38,790",549,3491.1
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,23-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_WB_2023-10-20_2023-10-30,WestBengal - Set 2 - Recharge - 600x600,west bengal,"20,406",117,1836.54
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,24-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_WB_2023-10-20_2023-10-30,WestBengal - Set 2 - Recharge - 600x600,west bengal,"13,548",141,1219.32
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,23-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_WB_2023-10-20_2023-10-30,WestBengal - Set 1 - Bill Payment - 1080x2592,west bengal,3,0,0.27
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,24-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_WB_2023-10-20_2023-10-30,WestBengal - Set 1 - Bill Payment - 1080x2592,west bengal,11,1,0.99
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,20-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_WB_2023-10-20_2023-10-30,WestBengal - Set 1 - Bill Payment - 600x600,west bengal,"66,091",518,5948.19
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,21-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_WB_2023-10-20_2023-10-30,WestBengal - Set 1 - Bill Payment - 600x600,west bengal,"111,204",1054,10008.36
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,22-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_WB_2023-10-20_2023-10-30,WestBengal - Set 1 - Bill Payment - 600x600,west bengal,"202,834",3653,18255.06
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,23-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_WB_2023-10-20_2023-10-30,WestBengal - Set 1 - Bill Payment - 600x600,west bengal,"77,584",656,6982.56
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,24-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_WB_2023-10-20_2023-10-30,WestBengal - Set 1 - Bill Payment - 600x600,west bengal,"39,366",413,3542.94
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,23-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_WB_2023-10-20_2023-10-30,WestBengal - Set 2 - Recharge - 1080x2592,west bengal,20,0,1.8
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,24-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_WB_2023-10-20_2023-10-30,WestBengal - Set 2 - Recharge - 1080x2592,west bengal,170,14,15.3
Dailyhunt,AmazonPay_FestivalCamp_Oct2023,20-10-23,ROS_AmazonPay_FestiveCamp_Oct2023_WB_2023-10-20_2023-10-30,WestBengal - Set 1 - Bill Payment - 990x505,west bengal,"23,621",132,2125.89
