Publisher,Campaign Name,Date,Line Item Name,Concept Name,Geo Targeting,Impressions,Clicks,Spends
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,18-10-23,ROS_Amazon_Pay_14Oct-20Nov_Lucknow_2023-10-14_2023-11-20,Lucknow - Set 2 - Pay in 1-click - 990x505,lucknow,"1,610",9,144.9
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,19-10-23,ROS_Amazon_Pay_14Oct-20Nov_Lucknow_2023-10-14_2023-11-20,Lucknow - Set 2 - Pay in 1-click - 990x505,lucknow,21,0,1.89
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,18-10-23,ROS_Amazon_Pay_14Oct-20Nov_Lucknow_2023-10-14_2023-11-20,Lucknow - Set 1 - Bill Payment - 600x600,lucknow,"15,408",163,1386.72
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,19-10-23,ROS_Amazon_Pay_14Oct-20Nov_Lucknow_2023-10-14_2023-11-20,Lucknow - Set 1 - Bill Payment - 600x600,lucknow,297,3,26.73
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,18-10-23,ROS_Amazon_Pay_14Oct-20Nov_Lucknow_2023-10-14_2023-11-20,Lucknow - Set 2 - Pay in 1-click - 600x600,lucknow,"6,737",45,606.33
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,19-10-23,ROS_Amazon_Pay_14Oct-20Nov_Lucknow_2023-10-14_2023-11-20,Lucknow - Set 2 - Pay in 1-click - 600x600,lucknow,110,0,9.9
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,18-10-23,ROS_Amazon_Pay_14Oct-20Nov_Lucknow_2023-10-14_2023-11-20,Lucknow - Set 1 - Bill Payment - 990x505,lucknow,"1,262",9,113.58
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,19-10-23,ROS_Amazon_Pay_14Oct-20Nov_Lucknow_2023-10-14_2023-11-20,Lucknow - Set 1 - Bill Payment - 990x505,lucknow,63,0,5.67
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,18-10-23,ROS_Amazon_Pay_14Oct-20Nov_Lucknow_2023-10-14_2023-11-20,Lucknow - Set 4 - Mobile recharge KV - 600x600,lucknow,"4,932",60,443.88
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,19-10-23,ROS_Amazon_Pay_14Oct-20Nov_Lucknow_2023-10-14_2023-11-20,Lucknow - Set 4 - Mobile recharge KV - 600x600,lucknow,362,4,32.58
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,18-10-23,ROS_Amazon_Pay_14Oct-20Nov_Lucknow_2023-10-14_2023-11-20,Lucknow - Set 3 - Zero convenience fee - 990x505,lucknow,"1,179",4,106.11
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,19-10-23,ROS_Amazon_Pay_14Oct-20Nov_Lucknow_2023-10-14_2023-11-20,Lucknow - Set 3 - Zero convenience fee - 990x505,lucknow,29,0,2.61
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,18-10-23,ROS_Amazon_Pay_14Oct-20Nov_Lucknow_2023-10-14_2023-11-20,Lucknow - Set 3 - Zero convenience fee - 600x600,lucknow,"1,304",11,117.36
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,19-10-23,ROS_Amazon_Pay_14Oct-20Nov_Lucknow_2023-10-14_2023-11-20,Lucknow - Set 3 - Zero convenience fee - 600x600,lucknow,57,1,5.13
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,17-10-23,ROS_Amazon_Pay_14Oct-20Nov_Lucknow_2023-10-14_2023-11-20,Lucknow - Set 4 - Mobile recharge KV - 990x505,lucknow,2,0,0.18
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,18-10-23,ROS_Amazon_Pay_14Oct-20Nov_Lucknow_2023-10-14_2023-11-20,Lucknow - Set 4 - Mobile recharge KV - 990x505,lucknow,"2,569",15,231.21
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,19-10-23,ROS_Amazon_Pay_14Oct-20Nov_Lucknow_2023-10-14_2023-11-20,Lucknow - Set 4 - Mobile recharge KV - 990x505,lucknow,102,1,9.18
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,14-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set 3 - Zero convenience fee - 600x600,"tamil nadu Excluding chennai, coimbatore","76,336",589,6870.24
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,15-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set 3 - Zero convenience fee - 600x600,"tamil nadu Excluding chennai, coimbatore","3,663",23,329.67
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,16-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set 3 - Zero convenience fee - 600x600,"tamil nadu Excluding chennai, coimbatore","3,773",13,339.57
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,17-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set 3 - Zero convenience fee - 600x600,"tamil nadu Excluding chennai, coimbatore",974,8,87.66
Dailyhunt,DH || Amazon Pay ||UPSELL|| Oct/Nov 23,18-10-23,ROS_Amazon_Pay_14Oct-20Nov_Rest-of-Tamilnadu_2023-10-14_2023-11-20,RO_Tamilnadu - Set 3 - Zero convenience fee - 600x600,"tamil nadu Excluding chennai, coimbatore","21,726",129,1955.34
